,19,25,15,17,1,6,0,3,23,18,0,4,14,16,5,10,7,21,24,12,17,26,16,28,2,10,22,13,29,27,2,27,28,11,3,20,8,9,26,4,24,25,0,19,19,22,7,29,11,22
TCGA-OR-A5LC-01,-0.64037883,1.978267,-0.5137633,1.1838489,1.1304681,-1.2491206,-0.14254522,1.069206,2.776734,1.4446764,-1.4488405,0.49362013,1.8349257,-1.5433282,-0.2762499,3.2059,0.39873835,0.36759788,-0.2710585,-3.3512976,0.5211516,-3.6264472,-0.33248097,-3.0656064,0.723031,0.37486538,-2.5026724,-0.1846317,2.6520793,-0.32431474,1.7215122,1.5529118,2.9885643,1.577186,1.2260886,-1.2043693,-0.54630333,0.62036276,1.6340958,0.95829433,0.6989219,-0.2960205,-2.3171937,-0.19189839,0.19118443,1.1894393,-0.6300268,-3.8458693,-1.448237,-5.1211596
TCGA-OR-A5JJ-01,-0.16682386,-0.074259326,-3.7439308,-1.1386147,2.0280154,0.18552645,0.049921535,0.21626669,2.4608762,1.3944433,-1.6717995,0.01925931,-0.04020847,-1.4273578,1.5979652,-1.5315934,0.0779585,1.4800348,-4.426867,-2.5850754,0.95847297,-0.87772185,-3.011733,0.2664176,0.2336913,-0.34113133,-3.547528,-2.2405765,0.2825701,-0.22132671,1.0956954,3.0781944,0.21936284,0.6415299,0.5019352,4.340387,0.6551902,2.8111062,-3.3595095,3.1109354,1.4556866,-2.203209,2.8866072,3.2943265,0.065197706,2.0691931,-3.0036535,-7.6087084,-0.1958586,1.590557
TCGA-OR-A5K3-01,0.9577109,-4.2201138,-0.82449687,-0.6628305,-1.1296659,2.010761,-0.61900157,-3.9281273,-0.112641625,-3.5801427,-0.89794075,-1.4796134,-1.4324137,0.119697906,-3.446189,-3.3265002,0.58724093,-0.13422148,-0.70288944,0.6263832,0.42334408,2.7928813,-0.7297038,2.4266052,0.6889694,0.34380996,1.4337987,1.9012418,0.48813924,-1.1627626,1.4953316,0.08329574,-2.7952337,-0.71838224,-0.8120653,1.6562513,2.4215755,-2.9236484,0.6971606,2.7134633,1.8053086,0.42785615,1.5717446,0.063950256,-0.8565838,0.2781274,0.59246004,1.7969413,0.01782471,1.5608102
TCGA-PK-A5HA-01,1.5223734,-2.8587523,0.2256948,0.8546593,-1.1564406,3.9808476,-0.5027121,-1.5109994,-2.0947905,-2.693664,1.4698756,-1.8244692,2.7418346,4.6861806,-5.7596717,-1.437109,0.14151251,-1.7805078,2.0489175,0.1000548,-1.6077644,0.061084323,-1.9704133,-1.6569802,-1.178226,1.0049623,-6.3544865,-0.32914075,0.8732242,-0.36659312,0.64770347,3.7263956,-4.232012,-0.6653639,-0.5873348,-3.4098232,4.1425867,-0.028437264,-1.7940187,6.2192435,2.501879,-0.5527831,1.930897,-2.3603559,-1.2734003,-0.20925972,0.5458864,2.954186,0.08970676,0.500891
TCGA-OR-A5LN-01,-1.4070503,-1.0639932,1.8039762,-0.25042242,-0.39582434,-0.79745734,-0.8368525,1.0670025,-0.28578794,0.20934649,0.16158497,-1.1068523,0.6116118,3.4485307,-4.6831675,0.98583513,0.17174634,0.26118776,3.7579195,3.284051,0.52012247,-4.116715,1.515239,1.7529526,0.88455117,0.39431947,-1.593189,-0.4591126,0.7212481,-1.0724723,1.5139624,-1.7559891,-3.4706047,0.70643085,-0.6345252,-2.6781702,1.2033087,0.8775234,0.35493982,-0.9302877,-1.694326,0.40729803,4.4339194,-3.7278676,-0.9992926,-0.27371326,3.503021,3.7705271,4.136831,-0.43980852
TCGA-OR-A5JA-01,-0.89541614,-0.84632945,0.6559729,-0.02183086,1.554981,1.5976762,0.6474272,-3.780825,-0.9250985,0.47013304,-0.2246356,-0.32380465,1.129501,0.020319644,3.5290306,-4.545387,0.37144625,1.5005231,-1.5472499,-1.9056722,0.9386807,5.410899,0.78786564,-2.9182065,1.4349937,-0.63715,-0.7361931,0.08525235,0.49337023,-0.97838706,3.8028364,1.8266326,0.0004477062,-3.094119,-1.1929622,0.34119853,-0.92241377,0.2958121,-1.321551,3.1395829,3.2659132,-1.7505002,1.627946,1.5679169,-0.030446218,0.26756844,0.7509128,-3.3479817,-2.2806234,0.063719995
TCGA-OR-A5K0-01,0.975636,0.10919395,-0.70042187,-4.7487345,3.6941526,-1.0791109,-0.26185286,1.5863984,-0.117180996,0.51179326,0.51158905,0.5622904,-0.65273404,-0.58304244,1.441202,-1.9098275,0.19174464,-2.354321,3.3147247,-3.3238678,-1.7827637,1.8635701,0.060289413,-7.3834867,-1.120767,0.57357043,-0.7458911,-1.2866027,0.9029851,0.8119664,2.7759035,3.7455034,1.9895623,-0.4315716,-1.2265309,0.21510465,1.0699087,-1.1846589,-2.4829307,-2.32493,3.377762,0.8915591,-2.878827,0.15687138,-0.17731532,0.11070185,-1.5429559,-5.3382764,-0.412333,-0.7966452
TCGA-OR-A5JY-01,2.0971575,-2.6926444,0.33693653,-2.1351738,0.019163283,1.0775591,-0.36095375,-1.3132964,1.4663476,0.90419114,-0.502448,-1.0386198,-2.1975186,-0.42581955,1.0257015,-1.4874538,0.39474383,-1.0182049,2.6612377,-2.0089414,-1.5003463,0.06346487,1.0774993,-5.8937674,-0.5873445,0.96449864,-0.7017277,-1.4684687,1.2443546,0.12349601,2.6066709,2.999353,0.78768873,-3.242104,-1.3933291,1.5638106,0.28891456,2.867865,-1.7450582,4.2291503,0.2972892,0.24670087,0.52792263,-0.27418727,-0.27598268,0.30634984,-3.981463,-5.9039435,-0.08053324,3.102818
TCGA-OR-A5J9-01,0.19967607,-0.127167,-3.036408,-0.17586601,2.566833,1.1441615,-1.0164375,2.3230605,-2.7980251,0.3632392,0.7193832,-0.9857664,2.4042764,0.19640853,-1.9373478,-1.4137679,-0.39186388,-0.6413753,-6.9653115,-4.759737,-1.8563248,2.430833,1.6523161,-3.0789661,-1.009488,-0.09845237,-2.0517995,-1.0829146,-0.8951151,-0.03129025,-0.81383747,3.4776733,1.4392843,4.4440694,-0.28704715,-0.6622367,-1.2044501,0.6672927,-4.334504,3.6411176,2.7337518,-4.5040884,1.1493633,3.7401788,-0.032011725,-0.20678532,-1.863743,-1.2738953,-0.9937253,1.0685608
