,29,26,27,13,26,16,9,18,3,12,0,22,23,15,5,22,17,2,25,6
TCGA-FX-A48G-01,0.012680348,1.2351862,-0.6219035,-0.3808491,0.29864115,-0.8626903,0.752568,-2.0840404,-0.29350513,2.44762,-0.338299,1.3157953,0.6576845,-0.3973659,2.4821362,1.8262554,-1.2237356,1.8309462,-2.099523,-0.13993475
TCGA-HB-A3YV-01,1.5262113,-3.5073419,1.8083535,0.3108182,-1.6253616,-4.405555,-2.3415453,1.3645383,-1.2496239,1.1536537,0.86258346,0.48497,3.4168465,-3.1899984,0.90561193,1.0733563,1.0278969,3.1162865,1.9156978,2.907995
TCGA-DX-AATS-01,0.08711764,-2.0154128,0.6113123,1.7494223,-3.3099468,-5.083192,-1.359736,-2.2762473,-0.59924185,0.9163693,0.23981483,5.188465,1.746739,-3.593102,2.3944235,-0.74662185,0.77034646,0.8304471,0.52375275,1.5201805
TCGA-FX-A3NJ-01,3.9662306,3.660833,1.1489961,-5.8135104,2.842404,-0.26592198,-0.7731326,-2.0253632,-1.8682721,4.110048,0.81330603,-3.7803147,-3.515284,-2.6185577,-3.7272809,-1.0481207,-0.036647014,1.7046467,-0.92971915,-3.4637046
TCGA-DX-A1L2-01,2.9104416,-1.1106019,2.2138736,3.1868122,-1.1448178,-1.9945203,-4.4652896,-0.4473809,0.38389355,2.1413794,-2.0291195,-0.121398725,-0.34310737,-1.4336383,-2.3602688,1.3662676,0.25321043,4.497424,0.8975106,-0.016365182
TCGA-3B-A9HX-01,-3.5794008,2.083744,-0.78561395,-1.4426386,0.13405365,1.9637023,-1.0221897,2.8678346,0.26129657,0.23142812,1.9585453,-1.808829,-2.3165064,-2.8047829,0.24409932,-0.4145336,0.5191548,-1.413163,-0.16026969,0.44978243
TCGA-WK-A8XX-01,2.3620148,3.230488,3.2716255,-5.1852508,1.8009248,1.7954773,0.1537444,2.9534,-1.8592353,-0.87765443,1.6958131,-3.514711,0.9676832,-2.2134948,-1.5902661,-0.30698583,-0.52811605,-1.3648134,2.2728176,-1.8884273
TCGA-DX-A3LS-01,2.2978666,-1.019932,0.40054965,0.99515176,-1.69252,2.0225532,2.3136702,0.6091333,-0.5251696,-1.4822111,0.05333308,-1.3694366,1.1669294,-1.6338829,3.531732,2.8564463,-0.40945297,-0.5044264,0.7677031,1.4524251
TCGA-DX-A3UD-01,-0.37586623,1.7729789,4.8937483,-6.4308953,2.0091364,-0.6704184,-0.511096,1.6719192,0.46020496,-0.26087263,-0.021157289,-2.5653062,-2.0625565,-3.376148,-0.45288354,-0.6194055,0.6455286,-1.7411867,0.533954,-3.4535928
TCGA-3B-A9I0-01,-0.33981597,2.5278835,2.624777,-5.6720014,-0.9060963,0.042723052,-2.533118,3.9529555,-1.570936,0.80755305,0.584802,-3.301548,-0.49410382,-3.2257445,0.6837604,0.77659535,0.55972636,-3.1861422,0.14711125,-2.577758
TCGA-DX-A8BM-01,1.4197518,-1.8756917,-4.362814,2.5661914,0.039940193,1.6043862,-5.0236444,-1.2092719,-2.1894503,2.6086159,-0.82029057,0.14528847,0.44797057,2.472714,2.7327814,-0.42639244,-2.0310597,2.1432147,-1.0079596,-2.6203756
TCGA-DX-A6BE-01,2.5918999,0.27081206,1.1349753,0.91628647,1.249483,0.66362107,-1.4156741,0.43434608,0.8397376,-2.0061877,1.3602078,-2.5895631,-0.3891097,1.4030415,3.62602,-1.4093865,-0.76308906,2.83104,0.87753093,-0.630354
TCGA-DX-A8BP-01,-0.68295395,3.203588,0.07954787,-0.036215257,-0.8523525,-0.3119211,-2.0351248,0.8780221,0.56782866,-5.3517456,-1.2149915,-0.6784498,0.4690653,0.2950566,1.7616742,-2.5693636,0.25645912,0.74806553,0.8076041,3.0822499
