,29,18,17,9,13,20,21,22,25,12,26,16,14,2,3,5,3,1,10,17,19,14,13,20,9,7,23,11,11,8,29,3,27,13,24,28,23,8,0,2,6,4,19,22,16,28,17,0,28,7
TCGA-VD-A8KM-01,-0.34828135,1.7451292,3.7483022,-0.20559913,0.4245032,2.349674,-0.749315,1.6267654,-3.1218467,1.6307404,-2.5499566,2.5121393,2.374697,-0.6435824,-0.16582078,5.681433,1.7868451,-5.9351296,7.388248,-1.4332962,0.39026293,1.8732316,1.0947815,1.1421037,-1.8983947,4.9540973,-1.594711,1.2509813,-1.480209,0.2615036,3.802969,-0.53822076,0.51591533,-1.2099493,-0.6474804,0.92841524,-0.6231007,-0.45865238,-0.097820766,2.453077,0.33539832,-0.56643265,-1.420144,-0.89473367,-0.5579263,-1.7212102,0.32933012,1.5878345,-0.85496044,0.64232796
TCGA-V4-A9F4-01,-2.198808,-2.2968721,-3.5791194,-0.3144282,-1.6393667,0.07010417,0.80519783,-1.5074718,-0.5667537,2.2488434,0.8539948,3.3193624,2.6051035,-0.19753262,-0.20186546,4.7181034,-1.1951703,0.121681586,-3.0148296,-0.14570525,-1.9352734,1.3447739,1.0374602,4.0727077,1.9473398,0.07536049,2.42947,3.4054148,1.2851914,0.96849215,1.839151,2.821047,-1.3890549,-0.58821535,-1.143878,1.2712839,-0.9549674,-0.8152164,-0.13521633,0.48256877,1.2141886,-0.7933761,2.8331342,0.22694191,-1.801222,-1.2381016,-0.06215508,5.0535693,1.5749696,0.4378747
TCGA-WC-A881-01,-1.7108439,-2.0659974,-1.4347082,-0.41328797,-2.9814663,0.16517432,0.37275842,1.8835286,2.1131008,-0.5177384,5.6126523,1.7565503,1.5731137,-0.16716368,-0.8321283,5.187161,4.2686715,1.9036864,-1.0256062,2.6864386,0.79930115,-0.40211102,-0.17016783,0.9365478,3.0493248,1.2605741,0.8786138,1.185864,2.595687,0.60169244,1.0244573,-1.0477914,-0.8743479,-0.15141883,-0.9055703,3.3771756,-1.2970768,0.5022435,-0.28196397,0.92428994,1.3036686,0.26719838,3.4281788,0.4121611,3.0698528,-0.48933622,0.45735678,3.6283536,1.06595,-0.18034573
TCGA-V4-A9F1-01,1.9247295,-3.36024,-1.6293086,-0.27591005,1.2923621,-2.6738975,-0.554266,0.53373706,-3.2989328,1.6501409,-0.4547819,2.8583999,0.335424,-0.31596076,-0.52005297,3.778156,2.0569854,-0.72967374,4.1979094,0.7321943,1.4487115,-0.09602179,-3.3724627,-3.7489612,-0.6112202,-0.04179868,-0.6241358,0.4194718,3.3672907,0.42173722,2.6760397,-0.720312,3.9128516,-0.22375701,-0.60128564,-0.9148144,0.066514134,-2.2958212,0.5724786,-0.2600323,-0.16740067,-0.2575611,2.9640055,-0.4942715,0.64959604,-0.12481157,-0.44409326,-0.8782735,-0.7073137,0.36596322
TCGA-VD-AA8N-01,0.46304378,-1.5887076,2.4679697,-0.8350703,2.505586,0.008257953,-1.8775272,1.8204734,-0.3758606,-0.569937,-3.0419106,-0.95953846,-0.047391158,0.017968217,-0.67168915,3.4501452,2.8116057,-0.12496258,-2.044257,-2.262593,-0.64825964,0.25994068,1.9486859,0.84333086,-5.5715294,0.19677591,-3.863969,-0.5320956,-2.7043595,-0.014364103,-0.86216575,0.5291596,-0.1675126,-0.15444791,-0.91400635,-1.4499006,-0.53786826,0.7213346,0.43779463,0.7106086,0.3602623,-0.13760242,-1.6335218,-0.24905105,3.442978,0.31094852,-0.8484076,-2.8214788,-1.005167,0.9910908
TCGA-V4-A9EY-01,1.1751412,-2.6018531,2.07265,-0.22678378,2.67407,-0.7309097,2.3040273,3.5361407,0.060016282,2.1694775,-0.9083783,-0.7048369,-4.113592,0.18659383,0.07811275,-4.6505113,-0.46592352,-2.5814466,-1.667342,3.3950305,-1.7591498,-1.3136916,2.6348276,1.8946193,-0.9844584,0.4610681,1.0032926,0.041551866,-1.0563122,-0.082083836,-0.20499234,2.9430058,3.575839,-0.6384544,-0.38400012,-0.8528866,-0.3911876,2.1039045,-0.84364134,2.9661808,1.2785094,0.2760605,-1.9130143,-0.11952077,-5.029286,-0.5439765,0.59123194,0.04762824,0.028802212,0.08781541
TCGA-V4-A9EI-01,-0.62404215,0.08985451,0.8611125,-0.7412171,3.3454497,-2.5975366,1.488926,-1.9009472,-2.8696,-0.490139,2.2211738,-1.277492,1.1849654,-0.6384953,-0.73860794,5.1727595,2.7818758,1.180062,3.2113988,-1.6847707,1.051359,-1.5328592,-1.020249,2.0149162,-1.7354121,-3.057213,-3.71681,1.1492649,0.25789034,-0.14024769,2.4762444,-0.6867326,1.2563244,-0.8906713,-0.8087509,-1.6025512,-0.13077813,1.36105,-0.11716467,-1.0211757,0.40234837,0.5100641,2.5890603,-1.1850082,2.2150807,1.4423873,0.7042738,-1.8588821,-1.0675321,0.39225122
TCGA-VD-AA8O-01,-1.483754,0.33434042,0.7892356,-0.52857864,2.515631,1.6107621,-1.2039305,1.6248401,-1.5988009,1.8281857,-3.132944,-1.6651037,0.9972042,-0.31939572,0.46655986,0.8888986,2.3554804,1.6448935,1.1953367,-1.1353928,1.4449143,1.5072849,2.42623,-0.26755816,-3.8714428,2.9957502,0.67558414,0.013471378,-2.0164933,-0.02172889,-1.8304514,0.7934877,0.17912465,-0.38593876,-0.95034754,-1.7984133,-0.60087883,-3.201247,0.44162476,-1.9121733,0.79374754,-0.3103503,0.0038784952,0.5153571,1.9873743,-1.2800304,-0.6362144,0.18375878,-0.41006762,0.43310282
TCGA-WC-A880-01,-2.8346214,0.61587626,-2.0333107,-0.48826405,-5.271652,0.73334205,3.3814466,0.9963202,-1.070862,1.9752914,0.47500062,0.37093383,-1.7304662,-0.12474604,-0.098441824,0.90486205,-3.411935,-0.079725266,-0.14614266,5.2991266,-0.63463664,0.12275791,0.223672,2.9705653,2.3301327,1.0787323,0.7409438,-1.0657207,0.16174257,-1.2358466,3.3156145,5.9902143,-3.7492032,-0.15580828,-0.3839373,2.8040645,-0.29557177,2.9324698,-0.91868484,2.0437632,2.0140793,-0.083217524,-2.440332,0.0056745475,-3.6465092,-1.3148309,0.49109244,3.3331769,1.0546659,-0.6937315
TCGA-WC-A882-01,3.354512,-7.2920465,2.4997811,-0.3569947,0.7079671,-0.49878296,-0.21172413,3.3341284,-0.70935154,-2.985704,-1.6010226,0.652564,-2.9447298,-0.020833004,-0.26310626,-0.3172443,0.5101835,-1.017236,-3.521166,2.6908426,0.35795662,1.3707013,0.45057404,-1.4942521,-0.4716364,-0.42304915,-1.2847105,0.36697993,-2.3099046,0.42663267,0.12102466,-1.8315802,3.5968237,-0.36107677,-0.897341,1.9091092,-0.85547566,1.5046583,0.10991156,2.195403,0.9914352,-0.62294275,-1.1643298,-0.373068,-1.7376533,-1.9037025,-0.30730024,-0.35672548,-0.09154276,0.13672467
TCGA-VD-AA8P-01,2.903865,-4.929992,2.09187,-0.5759336,2.816447,-0.67664933,0.2958971,-0.0924581,-2.6037512,-0.85348445,-0.5402011,0.3906191,0.11447778,0.08058191,-0.6859755,-0.9248352,0.37706485,0.48920026,-1.6957881,2.1142795,2.9727943,2.6618688,-0.3912786,-2.9385884,-2.1066732,-1.3677037,-1.4062932,0.36496872,-0.43614253,1.1168672,-1.2136368,-1.9415605,-1.781161,-0.23839565,-0.82103735,1.3475069,-0.4219937,-0.6089274,0.28391922,-3.8142567,-0.34467465,-0.48575965,2.586194,0.20737828,1.1602967,0.13343823,0.15011074,-2.545056,0.25751433,-0.078168325
TCGA-WC-AA9E-01,0.008502639,-1.2271309,-0.9833148,0.061407737,-1.5632062,-0.046805643,1.8141987,-0.6953194,0.12756301,0.16393976,6.533658,4.2350364,-0.47628137,-0.054645434,-0.8621699,6.8086314,0.71733075,-1.5521191,-0.38369954,-0.33770815,-0.4842099,1.9370997,0.45606703,1.7794294,2.2760038,1.3396803,1.6704975,1.940956,3.3177104,0.8028442,2.7216074,3.4992747,-4.7379518,0.018409098,-0.70454305,0.16882204,-0.9022124,-0.98212117,-1.1765108,3.3972187,0.8926956,0.002201654,5.641954,-0.39991212,2.044295,-1.0979598,0.41855434,3.330445,0.9046583,0.85540307
TCGA-V4-A9F8-01,2.3602512,-1.3980973,3.804308,-0.58253056,3.2300508,-0.17256919,0.6172233,1.0610465,0.6982969,-0.61022353,-1.4461575,-3.4953187,-1.7562753,-0.48839653,-0.6032487,-0.7928027,2.2223535,-0.9911777,-3.8564477,-1.0705186,1.5735239,1.5023305,-0.06849054,-2.7567568,-5.2456656,-0.23879331,-0.030065995,1.3906975,-1.2071661,0.07126328,-0.23857246,-2.7925057,-0.44446358,-0.79964036,-1.1770456,0.33593297,-0.36989063,1.808686,-0.123080485,0.65962964,0.57488924,-0.8451253,1.2869917,-0.3386988,0.24823187,-0.80471545,-0.262145,-3.4916296,0.14232264,0.6540248
TCGA-VD-A8K9-01,0.17580011,1.5887011,-2.6095896,-0.11311127,-2.481951,3.7139285,3.3691733,-5.408563,-1.5816131,1.5951531,2.8125782,2.309814,-0.52824426,0.14573802,0.6852783,2.2588384,-1.101559,0.95545626,-2.1475759,-1.1109478,-2.5973847,-2.2687035,-1.1061078,-2.3251874,1.7600458,-1.2992653,0.8646528,-2.0701525,0.48668915,0.02264704,2.9672184,0.14824966,-2.5711539,0.37107903,-0.6781101,-0.25005335,-0.16427647,-0.6687621,-0.45223552,-2.6811166,1.5642467,-0.502893,0.9833109,0.47623485,-0.17783943,-4.758754,0.05995016,4.451659,1.7808828,-1.1000049
TCGA-V4-A9EZ-01,0.6310928,-1.6839683,-0.850885,-0.10415515,-0.97771025,2.41542,1.7431465,0.5302636,3.1308396,-0.10258649,1.890301,0.10974243,-3.0683415,-0.4179906,-0.23315465,-0.3500241,-0.015754158,2.2962942,-5.9084253,1.545298,-1.519567,-1.0596839,-2.5943482,-1.2353356,-4.948381,2.3779352,2.3113508,3.868086,-1.1376643,1.2203081,1.8653628,1.2651124,-2.591114,-0.2310604,-0.8083514,1.4868387,-0.84499484,-1.8598176,-0.5973876,1.6056046,1.1259463,-0.5115083,1.3401458,1.0126842,0.053696916,-3.6562543,0.47020605,0.39010507,1.0561173,0.14492753
TCGA-VD-AA8Q-01,-4.2087803,-6.7997837,-1.4583477,0.15568222,-2.773886,1.5241364,0.28990954,3.7636783,0.44460112,1.3295467,0.10082728,1.4588954,-0.771713,0.025744474,0.20030062,0.58089757,3.0483117,-2.4682696,-1.3930054,3.9226532,0.74215513,-0.5754825,0.7003225,2.052641,2.501401,2.9477437,3.901187,2.7335486,-0.5702418,0.9580344,0.76537704,0.711777,1.2029938,0.16471264,-0.9322177,0.0111443605,-0.5925276,-0.7083953,-0.0037839026,0.955836,0.07219736,-0.79172295,-2.1933773,0.53822345,-1.426725,-2.7469027,0.053687666,3.5222542,0.65968585,1.0449985
TCGA-V4-A9E9-01,-4.1184535,0.21280032,-1.520427,-0.6327312,1.3521919,1.4938084,3.7427306,1.8049606,0.5076331,1.7788004,-0.63333005,-1.9804275,-0.95997226,-0.52754635,-0.21326156,-4.9896708,-3.9312222,-1.2443262,-4.917334,-0.14857735,0.02475093,0.37644568,1.1605718,4.337965,-1.2339272,0.04809657,1.5121797,0.18650539,0.30214,-0.71271175,1.2940147,1.6239103,-1.2957194,-1.2230684,-0.93059546,1.5917763,-0.8549182,0.30590844,0.11857516,0.28176036,1.3875549,-0.8254371,-3.6336923,0.40210715,-2.6999543,-3.5293412,0.6026253,1.0289197,0.18763131,-0.22642064
TCGA-VD-A8KL-01,1.0150754,-0.19783272,1.9646643,-0.71620464,3.9633503,-1.7596825,2.520299,2.0913806,0.97871417,-1.9026214,1.0790083,-2.6649327,1.6447576,-0.3373327,-0.35979512,-1.5008383,3.0474858,-1.4740856,-1.4892826,-2.770719,1.3919135,-0.78405756,1.1756868,-1.1432,-0.74836046,2.3224483,0.15880468,-1.5690309,0.534917,0.024283199,-2.5639365,1.7694283,0.3519008,-0.48583487,-0.98538464,-0.96617496,-0.20873562,-2.0191786,0.3999463,0.34644768,0.5241214,-0.48952964,-1.727286,-0.8101494,1.391962,0.28653055,0.50269353,-1.5889131,-0.37877703,0.21736251
TCGA-WC-A87T-01,-2.87681,-1.8443531,-1.4049655,0.18473567,-4.4529233,0.09663741,-0.85555166,1.3049332,-1.2426864,2.7373817,4.295214,2.2795024,1.889434,-0.36549154,-0.04137925,0.6176013,-3.0674665,1.1218038,-0.5565539,2.8202336,1.4222034,2.0817752,-0.4110428,4.301545,5.3277817,-4.3808703,3.6498444,1.7048761,1.043875,1.2369516,1.353558,3.8888633,-3.5660162,-0.8094328,-0.84921825,0.6271264,-0.96989447,1.814468,-0.17732626,-2.8586435,1.3335805,-0.7655913,3.595676,0.6090656,-3.7573354,-2.0231347,0.3233851,3.9396884,1.1432697,0.21501757
TCGA-YZ-A980-01,-0.10365697,-4.941743,8.335748,-1.581656,-3.332866,2.888483,-1.3717573,-4.2265573,-0.56705976,-0.16014461,-4.6512485,-2.723542,-1.142097,0.7439771,-0.7744298,7.1760945,8.054129,-5.7602925,2.4812732,-0.18037364,1.4039797,5.552208,1.4100692,-0.41965228,7.5256734,1.4251626,-2.1404874,4.448728,-5.6898026,0.25188762,-2.4438922,-0.37904918,1.7304567,-0.51579416,-0.91145366,3.3642707,0.038403958,-0.020859111,1.656664,5.339492,0.6118136,0.057947133,4.1897545,0.06147438,-1.3295013,-0.4419453,-0.53110397,-2.7904987,-1.3024626,-0.14263119
TCGA-VD-AA8M-01,-2.463144,-4.2751637,-0.86044407,-0.039776057,-3.293669,-0.87970424,1.7499799,1.7041619,-1.6043978,2.310754,-2.173408,2.3167503,-3.1562464,-0.23687786,-0.05853855,-0.51959836,-1.6692202,-1.6614506,-1.9018708,3.130857,2.3966942,-1.5500753,2.5900838,2.850081,0.63538456,1.5297685,0.543844,0.7991303,-1.5115838,0.8188276,0.2888836,3.0058246,-2.2325234,-0.62916064,-1.0129693,0.37495694,-0.40113148,3.72127,-0.63832766,0.9544536,0.37931007,-0.7230939,-0.063864045,0.354071,-1.8607086,0.057372224,0.6957508,1.6507964,0.43950388,0.59205097
TCGA-VD-AA8T-01,5.544779,-4.050641,0.1794959,-0.36043572,-1.8378584,-1.997568,-2.818113,0.5001478,-2.0169184,1.3327909,1.6516663,3.3970668,1.4563904,-0.17259374,-0.17870173,0.51487494,-0.80768305,1.8343838,4.4505644,-0.32087573,-2.3806176,2.7773752,-0.9384707,-2.879095,2.988571,-0.40177065,-0.921977,1.2342244,1.2871586,1.0493804,1.6420208,1.4094756,-1.1731259,-0.5180393,-0.53318715,-2.3741667,-0.07870291,-3.7057893,-0.46379563,-0.49384126,-0.11507131,-0.85893965,6.6669893,-0.11952041,0.50539875,-2.0008342,0.28124857,-0.36016506,0.86848736,0.5819607
TCGA-VD-A8KI-01,-1.1724858,1.7953217,1.0570853,-0.6979529,3.8755937,-1.4302754,3.1406484,-0.050446447,0.70406187,-1.2738405,-2.2921886,-1.6061454,-0.74534094,-0.29107362,-0.5222404,-0.5106718,1.2076107,-1.0315267,-1.9842035,-4.496251,1.3032525,-2.172136,0.61661744,-0.34481487,-4.4473357,-0.46937123,-2.4953718,1.1025846,-2.3235233,-0.2841997,1.7386423,-0.12719849,-0.9418538,-1.0376376,-1.1818372,-0.27846256,-0.1920696,1.0013967,0.03296919,0.20859261,0.85357034,-0.3872282,-2.0312934,-0.6430044,2.4852698,-0.8656584,0.90962434,-2.1692348,-0.74993515,-0.29598495
TCGA-V4-A9ED-01,-1.5343583,-3.307662,2.4591575,-0.15658627,2.2379944,-0.72389376,-0.046569243,2.861942,-0.8546504,0.070792675,-3.717209,0.7266675,-1.9093661,0.366617,-0.55662477,0.5131271,-0.6542653,-4.478194,-1.0595872,-0.7779307,2.9910674,3.0630815,2.3293715,0.055994444,-1.3757416,0.70756686,-1.4686908,0.13964632,-1.8104417,-0.08763604,-0.12327347,-1.0657965,1.8926603,0.23246391,-0.5381753,-0.6091793,-0.43770185,0.598373,0.70445496,1.6680068,0.41563115,-0.9146034,-2.5252557,-0.602391,0.47300312,-1.620521,-0.25439632,-1.8648876,-0.31839517,0.77390426
TCGA-V3-A9ZX-01,0.9153155,-0.66512185,3.4051018,-2.1540687,1.2173054,1.270212,-0.6597215,-3.5884898,-3.436026,0.47351626,-2.106912,0.11327123,0.81247914,0.5178502,-1.2680802,3.9566271,5.3470173,-4.116718,5.6605277,-3.9445758,1.9751773,1.8816575,-2.0635524,-0.009027303,1.2021617,-0.20923235,-0.8828233,2.1696265,-3.4691634,-0.09574749,-0.637337,-1.8429346,2.1618567,-0.9293164,-1.514972,1.1676478,-0.15685932,-2.0103743,1.0131558,1.9942842,0.09692098,-0.265966,1.2146763,-0.3892048,2.2817626,-1.1867174,-0.81597763,-2.4762585,-1.4440384,0.55440575
