,2,4,5,9,12,14,15,16,17,19,24,25,26,27,29,0,1,2,4,5,6,7,9,10,11,12,13,14,15,16,18,19,20,21,24,25,26,27,28,29,0,3,4,7,8,9,10,11,12,16,18,19,20,22,23,25,26,28
TCGA-FG-6692-01A,4.3813143,-22.674805,-0.62460077,-1.5615177,9.699231,-13.957265,-15.538646,9.883925,7.169324,-17.731005,-21.056908,-4.857251,-0.20059453,6.7088885,0.21321402,-3.1342847,-3.4993384,-0.47168744,1.9333463,-3.0120986,1.9122366,-0.044882804,-3.4458,1.2869345,1.0090256,-3.7471972,-0.16923758,0.68096524,4.964942,-2.2529304,0.3993626,2.5634322,2.148022,-3.2029243,6.279903,-0.70222753,4.642247,4.289485,-1.1102897,2.855242,-26.005445,-25.284664,-36.756077,-13.649205,13.841841,6.3694353,37.166637,-44.15966,11.475166,12.90554,0.21608578,-15.206211,4.1497893,-23.964287,12.689035,-20.826143,21.199839,-7.718206
TCGA-DU-7302-01A,-0.019700356,16.803308,-2.8849983,-13.635211,5.736838,-2.6373403,-14.193616,9.677657,-0.55518717,10.971174,-3.227855,0.56657994,-11.224202,4.5340056,5.6820264,-1.365209,-1.787724,-1.9149282,-0.68231237,0.8204339,1.8406056,-1.7864846,2.1322496,-1.9721439,1.6069955,-1.3257797,-0.28461924,-2.8369853,-1.4090154,1.5983119,2.384688,0.93034434,-0.44763395,-0.33782303,4.416672,-1.9694327,2.32725,3.7195425,1.235518,1.0462219,20.923246,-19.504139,-9.6802635,2.3782442,-2.1086442,-26.831001,24.912075,-6.629984,28.571093,5.8431196,7.967893,-15.046039,8.1487465,-9.986762,-9.685463,-18.82642,-0.45536283,-15.137325
TCGA-DU-7010-01A,4.823655,-12.3339,-1.3507681,-9.55323,-2.9336092,-5.1794143,-15.311984,9.868194,7.583186,6.650946,-9.110619,-0.65394294,1.6647221,0.55043185,8.029043,-2.1072872,-0.9549712,-2.306824,0.05841614,0.33501324,1.6313523,-1.2301804,0.19310775,0.15646754,0.62602484,-1.052403,-0.05506451,-2.0721562,0.044820584,0.4405578,1.4948694,0.94032294,-0.48609358,-1.002941,4.5199947,-2.615628,2.530133,3.9569926,1.0246569,0.6834992,-34.23384,-37.28902,-13.107765,-0.6672477,-19.604275,3.816434,7.8423114,-30.178148,13.484002,-0.8158394,-2.9478455,0.118761435,7.9590507,-27.528921,-6.8684244,-3.0974143,49.217583,-17.14098
TCGA-EZ-7264-01A,-0.64263946,0.7007204,1.998576,-10.397324,9.970291,5.5196853,-14.0810375,6.4521875,1.0065553,3.0322158,8.921329,0.08542131,-15.332637,3.5537894,2.4094408,-2.0122259,-0.20804636,-1.9534383,-1.3617285,0.6044554,0.24884601,-1.2014496,0.7552202,-1.00452,-0.37466282,-0.008103943,0.72798604,-1.5086714,-0.73798716,1.225197,1.7336618,-0.60651726,-0.09740533,0.79637975,3.0816605,-2.7177825,1.8126056,2.7739227,1.0107126,0.9315733,13.066554,-20.590792,-18.492466,0.7627258,1.4684246,-33.645313,24.19606,-7.847183,19.755997,5.9738536,7.7993045,-10.552906,-1.7061675,-7.201514,-4.074986,-16.289099,-5.1466618,-14.801797
TCGA-HT-A5R7-01A,-8.098595,17.522213,-7.152217,-12.016623,7.597184,-6.569067,-13.990756,11.531814,4.2157845,5.706557,-10.292621,2.06747,2.7800205,4.4768195,0.2201501,-2.8052714,-0.96178025,-1.2761135,1.1293724,1.0650705,2.0127773,-1.8111875,0.6324941,0.3813137,1.5465003,-0.28948024,1.0863227,-2.0772002,-0.268281,0.6221427,2.3884213,1.3837637,-0.6982762,-0.0001257807,4.796787,-2.8864713,1.977437,4.021384,1.3276387,0.45833826,-18.921036,4.705502,13.616918,23.62599,-25.185198,3.8765044,-13.770668,-3.1809194,40.032337,-20.583822,-17.232191,0.40537298,-7.5009274,-15.018373,-1.9691987,29.065937,20.505629,-5.9783845
TCGA-HT-8109-01A,-2.403514,16.032854,-4.7112813,-12.980197,7.9187074,3.3152292,-13.758899,13.201304,-0.58997595,5.791563,-4.8122754,1.6548194,-3.9147007,1.2668811,1.1572685,-0.92510897,-1.3078845,-2.7302105,0.17639054,0.8415696,2.373335,-1.7418318,1.7865216,-0.7696427,1.2400515,-1.212958,-0.7748412,-2.890218,-0.91943336,1.0680596,1.8421272,1.1306993,-1.0582114,-1.5669881,5.2058997,-2.3400834,2.4108708,4.6263723,1.3538847,0.66887105,-6.3234396,-1.3374025,-17.181307,10.148469,-5.010591,-14.499179,29.236805,-8.979386,27.520247,-0.40411615,12.439938,0.5601015,-17.994429,2.3287318,-1.0110397,0.28414422,-10.002821,-12.605124
TCGA-HT-8018-01A,-3.7854702,14.557844,-4.420375,-14.088405,8.641167,-10.677753,-14.216913,10.410021,-0.6399047,14.6912985,-16.25137,3.4042306,2.8766782,1.7899725,-2.7934623,-0.97167164,-2.5014722,-2.0758066,0.18332088,0.26413757,3.900246,-1.9286973,0.86300635,-1.1245222,1.9190165,-2.7597468,-0.8238536,-2.8475451,-0.15537505,1.5701482,3.002194,1.6888934,-0.31571835,-1.6328646,6.9590125,-2.220463,3.7719324,5.5808463,1.217381,1.073121,-11.197502,17.572487,15.202251,18.414639,1.1461818,8.927537,-21.018715,-2.6287467,53.275185,-19.692112,-13.635593,-4.8652773,-7.5622854,0.8864834,-15.992047,55.47221,-2.8606603,0.27373073
TCGA-HT-7603-01A,-1.420924,22.758627,-11.688018,-10.000145,9.118071,-2.7991908,-13.884449,10.634665,7.5227957,11.209373,-10.719917,3.1487272,4.4143963,1.1617938,-3.9558127,-1.2200576,-1.1461238,-2.4603963,0.31668088,0.826361,2.5488627,-1.8263286,1.5403262,-0.84021163,1.7226509,-1.190179,-0.26773104,-2.9035451,-1.2246532,1.6276993,2.593639,0.96762407,-1.0574791,-1.1497816,5.3033276,-2.5567145,2.4572191,4.5660706,1.7540383,0.4070747,-25.88621,-15.178214,-27.559097,4.9677677,3.2172863,-14.584942,35.730812,-21.433577,9.600544,8.302305,12.212694,8.852186,0.6293512,-1.7384467,7.1568055,-10.42767,-1.6990583,-13.216608
TCGA-DU-7013-01A,4.7429504,-11.981697,2.7558138,-6.022454,4.348793,-12.760813,-16.857052,10.857081,-2.5008228,-5.9196954,-10.716884,-3.769946,0.35595775,1.0150989,10.225285,-2.766761,-2.945818,-2.4666178,1.5352532,-0.5670474,1.7664059,-0.7611436,-1.2830112,0.67122465,0.08388574,-2.5013049,-0.7753897,-1.8343223,3.1590283,-1.3691131,0.3824375,2.6698217,1.0995781,-3.0000858,5.8863535,-2.1212945,3.7083962,5.2613015,0.17424536,1.6367311,-33.20078,-13.883602,-22.168,5.559561,15.221272,-5.532265,36.63266,-15.981543,17.7881,4.238151,7.5548167,-9.781942,-17.44088,-12.03762,-1.0398202,-9.253024,10.940114,-15.601715
