,0,1,2,5,8,13,14,15,17,18,20,22,23,24,27,0,1,2,3,4,6,7,8,9,10,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28
TCGA-OR-A5LC-01,1.4255902,4.015417,-1.2596921,-2.1974087,3.2322273,-0.049951784,-0.6636368,-4.2760453,2.1792438,-0.13450582,-0.027874423,0.17803797,-0.17599238,-4.301115,2.468116,8.543113,7.232112,-9.173579,-6.2018557,-3.438753,10.411808,8.79758,-8.870648,-7.9606867,9.177005,-8.922009,-9.78299,-11.008129,-8.043917,-6.1161265,8.592986,-7.5238605,7.6001024,9.048548,-9.917098,-6.9480515,8.882695,7.610516,-9.030756,-6.8175488,3.0852826
TCGA-OR-A5JJ-01,2.0907006,5.183169,-2.4402993,-2.371716,3.774255,-0.38117355,0.117925994,-5.273831,2.3504086,0.012238455,0.06031164,0.4255805,0.5732416,-5.2951407,2.2907474,8.811272,13.979345,-9.559227,-17.543196,-16.001709,8.593839,11.11547,-3.9636853,-8.222999,3.531459,-9.634042,-14.509522,-13.608641,-11.11091,-6.176369,11.527139,-8.309289,11.121277,12.725106,-12.84427,-9.873996,1.9915336,7.034253,-0.6494105,-9.563289,11.753435
TCGA-OR-A5K3-01,2.1909108,3.4656632,-0.8985152,-0.8560707,2.4672418,-0.07475835,1.3833513,-1.6038511,1.0650054,1.3819455,-2.6203487,-0.7974332,2.2405407,-3.0272882,3.4874012,-0.35781607,19.88261,-6.4212384,-29.039694,-27.466734,5.2754364,16.342031,12.24531,-8.410138,-11.120447,-0.85213375,-19.33673,-14.086288,-2.7966335,8.239728,15.8181,3.4919488,5.8782454,4.8434863,-23.395199,-14.98984,-17.540083,-1.589591,17.471012,-11.907556,32.011803
TCGA-PK-A5HA-01,2.6945777,2.1391618,-0.20196806,0.6184503,1.352367,0.057749696,2.279828,0.9008217,-0.18786874,1.7384417,-4.1490417,-1.3178728,2.8325026,-1.4977871,3.3644066,9.173173,15.797554,-10.106409,-20.771927,-19.279362,8.34446,11.927446,-2.9213352,-8.6126,2.4505587,-10.119422,-16.165043,-14.809511,-12.211901,-6.606558,12.404643,-8.843628,12.70134,13.91054,-13.864899,-10.959146,0.5321163,7.0177774,1.2229933,-10.466539,14.277843
TCGA-OR-A5LN-01,2.6365333,2.9523287,0.28032553,-0.8094128,1.6910146,-0.19477198,1.7112402,0.23099394,0.28584588,2.5762086,-4.3830457,-1.4322517,3.059674,-2.0462031,5.012468,-5.5608244,13.547253,-5.098141,-21.197681,-16.377432,5.383771,15.851595,13.251548,-7.2765703,-11.82819,4.205882,-15.846772,-10.115667,5.926423,15.712899,14.136073,10.601259,-1.6311435,-4.0720816,-25.314672,-13.624781,-18.390463,-5.08154,16.4756,-10.353025,30.174744
TCGA-OR-A5JA-01,3.028579,5.209503,-2.011442,-1.2285216,3.912183,-0.22934534,2.147642,-3.1668563,1.5707209,1.7136887,-2.912432,-0.859076,2.9281363,-4.631259,4.16498,9.821866,11.114353,-10.811096,-12.3703985,-9.474906,10.545028,10.649469,-8.31184,-9.125507,8.172418,-10.717486,-13.142587,-13.855818,-11.588903,-7.7531657,10.805186,-9.432932,11.3033085,12.323677,-11.969004,-8.964439,7.1233344,8.816646,-6.366094,-9.39686,7.165845
TCGA-OR-A5K0-01,2.49227,1.9760022,-1.5142646,1.26786,1.4611222,0.080237985,2.9622972,0.17709251,-0.4653623,0.7585433,-2.7160976,-1.0009058,2.564793,-1.8146075,1.2496034,13.0219345,6.6124816,-11.197016,-5.4449015,-1.8935045,11.161299,8.182665,-16.063032,-8.25914,14.560611,-13.392783,-8.535033,-12.025238,-13.3344145,-14.073486,8.257228,-13.9234085,11.562297,13.828352,-6.5035405,-6.0142508,17.670345,11.76984,-15.637739,-7.491442,-4.4830365
TCGA-OR-A5JY-01,2.8010533,2.6718214,-2.3591177,1.1576108,2.162328,-0.060723186,3.407268,-0.89137065,-0.29762152,0.56158626,-2.2772036,-1.0929198,2.859552,-2.7240791,0.99229866,11.523479,7.7072954,-10.476201,-7.2273655,-4.1286745,10.54587,8.560416,-13.029884,-8.294686,11.856067,-11.907671,-9.516376,-12.055567,-12.076159,-11.379382,8.879308,-11.897412,10.85901,12.869541,-8.089033,-6.668523,13.613893,10.372967,-12.005227,-7.6222863,-0.7316186
TCGA-OR-A5J9-01,1.6849034,1.8130922,-2.714037,1.1089522,1.5680947,-0.5183528,2.6185136,-1.3882612,-0.38362813,-0.4100916,0.19242,-0.3829672,1.8599185,-2.1441207,-0.93426436,12.859401,8.030768,-12.005796,-7.806115,-3.7912507,11.844702,9.230183,-14.864689,-9.198604,13.759057,-13.67903,-10.400007,-13.413517,-13.67252,-13.163749,9.271004,-13.4155245,12.506594,14.195074,-8.577587,-7.081703,15.5284195,11.662311,-13.949956,-8.963749,-1.5676441
TCGA-OR-A5K4-01,2.6224592,4.5936675,-0.78353363,-1.95515,3.1989057,-0.1208819,1.3545394,-2.2504795,1.6616611,2.0330284,-3.1543803,-1.1428876,2.6125677,-3.8235178,4.8905215,-0.13727473,12.362187,-6.5858655,-16.019987,-12.939223,7.9081874,13.559942,5.966337,-8.4267435,-3.9287212,-1.0213296,-14.673311,-11.78331,0.13967867,7.9516563,12.847052,3.8479295,2.5971658,1.6796696,-20.346062,-11.909396,-9.312506,-0.29906523,7.6097026,-9.077599,21.914042
TCGA-OR-A5L9-01,2.509226,1.7953136,-0.6668756,1.1130993,1.301561,0.21542285,2.4702961,0.79066956,-0.30466178,1.0993085,-3.4389565,-1.1127076,2.4996004,-1.388177,2.124064,-5.962132,13.195301,-4.5132837,-21.033415,-16.27538,4.871342,15.564796,13.647242,-6.806841,-12.511917,4.599489,-15.144857,-9.134472,6.373082,16.076591,13.981805,11.11488,-2.289956,-4.542252,-24.876827,-13.186858,-18.644194,-5.586641,16.779573,-9.915148,30.145832
TCGA-OR-A5KV-01,1.6190073,4.7484937,-2.0530806,-2.4457653,3.7894971,-0.26274186,-0.7824821,-5.5136766,2.6543303,-0.4230439,0.6570063,0.5271583,-0.35484332,-5.1941004,1.9484683,5.78951,9.2272215,-8.786018,-9.733298,-6.7920585,10.408274,10.584963,-3.6322954,-8.317844,4.9466496,-6.441738,-12.066363,-11.851673,-5.10618,-0.83428633,10.116627,-3.3197775,5.9578495,6.584187,-14.196732,-9.024614,2.2761467,5.100905,-3.5310194,-7.8388023,10.423413
TCGA-OR-A5KY-01,1.9039346,2.2395637,-2.5306423,0.9023472,1.9226067,-0.51500684,2.4678898,-1.7626222,0.097442634,-0.16384283,-0.45318487,-0.5241173,1.9560232,-2.5937464,-0.17245428,8.203286,12.045731,-10.298768,-14.018174,-11.1034155,10.41793,11.44947,-5.363632,-9.081403,5.84234,-9.147255,-13.973028,-14.007785,-9.727364,-4.777378,11.447099,-7.028351,10.1668005,10.766007,-13.911488,-9.936779,3.4389048,7.371752,-3.268891,-9.648618,11.135481
TCGA-OR-A5K9-01,0.7579169,3.4629424,-0.5333698,-3.1410413,2.7960582,-0.004549972,-1.9942652,-4.4078565,2.3067508,-0.3877833,0.9219297,0.3543976,-1.5716001,-3.9470847,2.7196374,11.652454,7.7062435,-11.030868,-7.139209,-3.7413948,11.162455,8.932787,-13.462963,-8.673148,12.52549,-12.275408,-10.00677,-12.552094,-12.26546,-11.448652,9.02615,-12.033395,11.214599,12.957554,-8.416304,-6.7021055,13.8895645,10.600888,-12.692175,-8.106799,-0.4686367
TCGA-OR-A5J2-01,1.8056793,1.6468575,-1.1700522,0.76855963,1.3744953,-0.028875936,1.6974736,-0.5434428,0.124199584,0.17787455,-1.6722981,-0.531094,1.7599434,-1.752726,0.91032314,-5.420145,8.003979,-2.7517073,-13.241219,-9.441198,4.005239,11.506205,10.219597,-4.5116544,-9.41959,4.703586,-10.452605,-5.679664,7.4092712,13.985662,9.767539,10.056664,-3.9869692,-5.7171435,-18.766901,-9.375401,-13.613683,-5.022767,12.02614,-6.498071,21.512533
TCGA-OR-A5JD-01,2.0675,1.9650135,0.42421007,-0.30670306,0.9909821,0.029581606,1.433677,0.8639564,-0.07675828,1.9326439,-3.7319076,-1.2335222,2.3601224,-1.1672119,3.9744542,-4.6546,12.339121,-5.295239,-18.753746,-14.020265,6.0354805,14.940567,11.235491,-7.3620133,-9.568969,3.1852217,-14.95026,-9.9408865,5.315262,14.34145,13.312423,9.463188,-1.239431,-3.4749956,-23.909758,-12.900002,-15.944356,-4.2170544,13.630932,-9.806577,27.556114
TCGA-OR-A5JX-01,2.388943,3.3467886,-0.76101935,-0.62250173,2.3463035,-0.10302285,1.5142983,-1.2353048,0.9532002,1.523104,-3.0375957,-0.9083076,2.558316,-2.8944733,3.6739404,-1.7462316,14.849115,-4.5981493,-22.200539,-20.27696,4.2608542,13.651565,10.678159,-6.622524,-10.129205,0.63023925,-15.209628,-10.153376,0.34856227,9.224664,12.980367,5.0414634,1.9129955,1.744948,-20.397686,-12.187212,-14.675965,-2.6598594,14.002744,-8.830429,25.964256
TCGA-OR-A5KZ-01,2.6309936,4.5515203,-1.143631,-1.5150753,3.2199905,-0.090674445,1.5517396,-2.3681023,1.6242061,1.7245916,-2.9755223,-0.9552284,2.5969777,-3.9119844,4.356431,4.189923,14.438195,-7.1712584,-19.12163,-17.954967,7.0014043,12.027355,2.9089608,-7.706488,-2.4790452,-4.9165516,-15.074221,-12.335431,-5.7352705,1.1151621,12.208964,-2.0024557,6.9110737,7.8170824,-16.368937,-11.043146,-5.7972665,2.585056,5.8225055,-8.859526,18.515797
TCGA-OR-A5LB-01,1.7325419,3.0815098,-0.67128277,-1.1028805,2.3467352,0.112716064,0.5039419,-1.9656829,1.3706713,0.6858008,-1.7731233,-0.47807434,1.3889709,-3.0136597,3.0220473,7.4251137,19.131292,-9.42544,-25.53217,-24.80006,7.9326735,13.860214,1.8369129,-8.815956,-1.7167754,-8.327285,-18.548672,-15.921289,-11.149155,-3.0866246,14.226524,-6.2963514,11.910538,13.136017,-17.138586,-13.006716,-5.14163,5.166951,6.73515,-11.48058,21.371197
TCGA-OR-A5JR-01,3.030991,1.9052918,-0.43869054,1.461257,1.2266438,0.30010945,3.15698,1.763631,-0.618327,1.7487962,-4.6752315,-1.5568585,3.0197675,-1.1952912,2.8937566,-3.6622653,16.150621,-4.3075404,-25.170422,-22.456375,3.725304,15.16873,13.775773,-6.98742,-13.133983,2.495088,-16.433504,-10.564558,2.0335083,12.267671,14.255103,7.5610094,1.0892465,-0.027149701,-23.256052,-13.533981,-18.72791,-4.382725,18.121382,-10.040436,30.194195
TCGA-OR-A5J6-01,2.1015875,3.412705,1.0947424,-2.7364008,1.685506,-0.15150645,0.58688843,-0.4913078,0.8889656,2.8552208,-3.2648668,-1.6679959,2.163725,-2.4814184,6.2669554,-8.353148,10.622083,-2.52185,-19.092453,-14.076876,3.0652075,14.471243,15.212321,-4.770116,-14.929408,7.3503523,-12.788833,-6.0898185,10.109342,18.941536,12.250599,14.0143585,-5.7148395,-8.167677,-23.74949,-11.806314,-19.953398,-7.7695785,18.543924,-8.383371,28.937984
TCGA-OR-A5J1-01,2.3451428,4.6109443,-1.8187559,-1.7545047,3.3650753,-0.16960727,0.88037574,-3.6656485,1.7842523,0.66339886,-1.4424106,-0.1641718,1.6797595,-4.461818,3.1299853,10.941739,7.7616005,-10.0726185,-7.774829,-4.6657476,9.9854965,8.293303,-12.043599,-7.9714327,11.04365,-11.618055,-9.50645,-11.630639,-11.411195,-11.020303,8.413556,-11.275303,10.548319,12.401745,-7.8247313,-6.4927664,12.582248,9.561517,-10.962646,-7.50416,-0.49020165
TCGA-OR-A5LD-01,1.0259918,4.268411,-1.5849553,-2.7270179,3.5014367,-0.21139035,-1.5426145,-5.4716387,2.7211103,-0.6847242,1.215746,0.65330285,-1.3680111,-4.8267484,1.7638197,14.72243,7.99594,-12.283765,-7.90005,-4.0331106,11.628519,8.733346,-17.33881,-8.900407,15.19843,-15.379994,-9.825177,-13.356659,-15.432816,-16.438673,9.009606,-16.041574,13.748665,16.303411,-6.8524594,-6.708269,18.680683,12.797804,-15.797783,-8.785011,-4.8999314
TCGA-OR-A5JK-01,2.4216897,3.9854393,-0.41907904,-1.8427916,2.6248207,-0.058462188,1.0280294,-1.751975,1.4389753,1.8864262,-2.9954605,-1.0697534,2.3952694,-3.333746,4.7012033,-2.3198423,13.975383,-4.2313876,-21.217535,-18.978043,3.9537423,13.181837,10.9852495,-6.235951,-10.237193,1.3663912,-14.299487,-9.488121,0.9811406,9.699981,12.377675,5.6230717,1.512508,0.82407564,-19.845316,-11.640551,-14.991266,-3.0389411,14.278801,-8.563834,25.485504
TCGA-OR-A5LH-01,3.6526816,2.784165,-1.2954926,1.6805983,1.9621493,0.1760097,3.8451872,0.761827,-0.48559588,1.7095258,-4.5638638,-1.6318829,3.7155244,-2.2138946,2.6847522,-5.688787,13.399724,-4.7833004,-20.88453,-15.975447,5.404597,15.675877,13.18811,-7.1843038,-11.875861,4.2809753,-15.345309,-9.636205,5.989871,15.915548,14.084308,10.705055,-1.9129248,-4.173542,-25.101711,-13.438163,-18.351963,-5.360549,16.309286,-10.025448,30.141106
TCGA-PK-A5H8-01,3.1496832,4.5122094,-0.55350244,-1.3547815,3.0745215,-0.33648598,2.0484657,-1.3821871,1.0879147,2.8039825,-4.3755603,-1.5158212,3.363438,-3.5918274,5.4372616,-0.22595914,19.623905,-5.882521,-29.033953,-27.76467,4.652415,15.569887,12.222781,-8.102436,-11.464518,-0.82167137,-18.957808,-13.534288,-2.9947658,7.8436456,15.413598,3.2045038,5.6786504,5.2566643,-22.470367,-14.481937,-17.107912,-1.6270627,17.336172,-11.419881,30.995216
