,2
TCGA-LN-A7HW-01,12.664532
TCGA-VR-A8EO-01,11.526579
TCGA-2H-A9GF-01,12.374562
TCGA-R6-A6L4-01,10.817892
TCGA-V5-A7RC-01,11.408599
TCGA-L5-A4OG-11,9.5016365
TCGA-IC-A6RE-01,10.363243
TCGA-L5-A8NG-01,10.410175
TCGA-LN-A49S-01,13.255035
TCGA-2H-A9GJ-01,12.085417
TCGA-LN-A49U-01,12.223839
TCGA-2H-A9GO-01,14.38218
TCGA-L5-A8NE-01,12.129085
TCGA-LN-A5U5-01,11.769543
TCGA-LN-A4A5-01,12.410811
TCGA-KH-A6WC-01,15.520201
TCGA-L5-A8NM-01,8.357922
TCGA-IG-A97I-01,8.058566
TCGA-L5-A8NV-01,12.36723
TCGA-LN-A8I0-01,11.7443905
TCGA-L5-A893-01,6.889656
TCGA-L5-A4OQ-11,17.190336
TCGA-L5-A4ON-01,11.287947
TCGA-LN-A4A1-01,11.511515
TCGA-R6-A8WC-01,13.510986
TCGA-L5-A88Z-01,4.7159147
TCGA-JY-A6FG-01,4.297004
TCGA-L5-A4OM-01,7.3585186
TCGA-Z6-A8JE-01,7.0895967
TCGA-L5-A4OQ-01,14.093905
TCGA-M9-A5M8-01,10.3586
