,1,4,20,21,22,24,25,28,29,5,6,7,8,13,14,15,17,18,19,22,25,0,3,8,11,12,16,18,19,20,29
TCGA-FX-A48G-01,1.6685412,7.836916,-17.418364,-19.369837,-21.030695,10.9487505,24.260517,-28.727613,1.257559,-2.740565,3.1292002,-1.5564865,2.588568,2.873109,2.230421,-2.906382,3.8340104,-3.282786,2.6629965,1.4912453,4.2524815,9.888823,0.022962809,-23.708605,0.067416236,-13.2390175,7.942582,1.6348493,19.969093,7.2275124,8.820595
TCGA-HB-A3YV-01,8.059139,21.127645,-5.123259,-32.64248,-11.982376,29.690908,-18.20593,4.1481743,-11.377957,-5.337259,6.6366754,-4.2769594,3.3267655,5.602412,2.3348374,-2.8094058,5.4831986,-5.5220113,4.3257136,2.7873569,4.18471,-14.832001,13.690595,12.79899,-13.171633,15.791254,-1.1633914,15.23586,6.61601,7.229409,9.307512
TCGA-DX-AATS-01,0.39117387,15.260604,11.581336,-35.41707,-11.943473,21.717216,-9.151226,-0.091841206,-24.007915,-5.4553924,6.9133515,-4.0598054,4.0814753,4.882142,3.0394871,-3.6124885,6.09469,-5.001921,4.451992,5.4826407,4.881564,-16.189728,3.1443741,15.841292,-2.646628,18.232773,12.698093,0.37733775,13.32097,-3.6294744,-0.35010564
TCGA-FX-A3NJ-01,16.06634,13.58089,-4.829142,-20.611238,-12.426927,14.422976,25.234617,-15.936363,30.782265,-1.3996354,1.0868727,-0.30885503,1.0620438,1.5386474,1.547274,-1.8131725,1.427857,-1.8973453,0.6267298,0.18403558,2.207841,-3.4364357,19.694439,-10.812488,-10.391407,-0.3817152,-17.102188,-26.151974,6.777404,27.020262,10.863632
TCGA-DX-A1L2-01,15.731379,14.836131,-15.123493,-24.865662,-10.422658,25.466461,-13.146001,1.4417958,0.22105463,-2.6054175,4.208768,-1.5287938,2.8844545,3.0473273,1.7807547,-1.7697488,3.6495051,-3.5108151,1.71922,1.3169317,1.937751,-13.674621,10.553879,2.2483408,-6.816995,13.994154,-0.63191104,3.2191691,4.5333414,3.333533,4.7927413
TCGA-3B-A9HX-01,4.709039,16.3276,-13.810461,-28.671282,-17.167143,12.2885895,5.3423924,-6.7067165,4.77797,-3.3459074,3.424864,-1.829709,2.7582319,3.2051477,2.4255362,-3.1373408,4.036192,-3.4149451,2.1735456,1.1736065,4.0757346,-7.5607824,2.2433605,-13.112559,2.2572446,7.043575,15.458595,-10.406377,16.748981,2.9429014,5.0719576
TCGA-WK-A8XX-01,7.583515,12.453424,-1.1050273,-24.638163,-16.591515,12.27097,22.500784,-17.17608,22.73127,-1.6342484,1.1139458,-0.6586393,1.5256833,1.1547022,1.4723423,-2.151103,1.8940372,-2.2899709,0.81784576,0.70634544,2.2053428,-10.265214,10.219841,-10.246968,-14.699225,16.318663,-10.10212,-3.4416926,9.158056,10.945927,12.7457285
TCGA-DX-A3LS-01,8.93514,13.092022,-7.644747,-33.098972,-10.822446,22.252493,-2.586381,5.999929,4.6108193,-2.886802,4.2347674,-1.6548615,3.3590899,2.3241165,1.7568924,-2.0026135,4.1923833,-3.4872596,2.395621,2.7513719,2.422311,-5.171188,9.02183,-6.0532312,-4.1414256,5.987217,14.589206,-8.447974,7.393749,1.085055,10.831423
TCGA-DX-A3UD-01,11.051376,14.406873,-5.8418345,-16.04465,-18.333914,6.2189493,27.295757,-22.674608,17.541155,-1.2822921,1.0339993,-0.48867124,1.3739814,0.91775584,1.2657433,-1.8504078,1.6520063,-1.9453064,0.8518609,0.80709547,1.9620527,-11.553051,6.860759,-13.787619,-16.720207,13.63144,-4.001582,-13.141142,2.5831182,21.521225,16.961235
TCGA-3B-A9I0-01,10.359816,12.94798,-9.041089,-19.007975,-18.79262,9.439009,28.521582,-21.010702,24.200869,-1.5096688,1.0145043,-0.6714707,1.4544611,1.014671,1.2929341,-1.989878,1.8266553,-2.172818,0.91871744,0.69594043,2.0373344,-9.503901,12.997799,-8.547763,-10.819643,11.0514345,-1.4731383,-15.459062,7.1181803,13.84856,14.721519
TCGA-DX-A8BM-01,-4.9247437,15.751197,-15.525765,-29.977856,-15.409117,25.078815,-1.4066777,-3.360909,-7.9513035,-3.3649027,3.690678,-2.4503617,2.6602092,2.8418565,1.8205453,-2.492194,4.2011895,-3.603215,2.62166,1.796769,2.8607795,-11.719276,12.650469,9.899134,-5.9494987,8.551888,9.496048,-0.9096204,7.6607084,-2.2168844,1.6965256
TCGA-DX-A6BE-01,10.343251,14.418487,-1.8312348,-34.838093,-10.499738,24.548557,1.1227541,-0.8401861,17.435204,-2.9405136,3.077789,-1.9844389,2.2806785,2.4574785,1.7677925,-2.3805223,3.6347072,-3.243266,1.7490532,1.2792933,2.3085163,-12.816775,17.749498,-14.393321,-11.18222,11.088347,-2.0756102,0.012602335,7.2694526,2.1532686,7.0833273
TCGA-DX-A8BP-01,7.8689523,9.336507,7.246612,-30.537779,-6.617836,13.721485,11.164267,-0.06600116,6.5017676,-1.9362156,2.74487,-0.8411969,2.7521827,1.3550667,1.6457566,-2.307544,3.2846828,-2.2402723,1.5524328,2.0140636,2.6458638,-16.125414,13.057137,-10.07965,-15.0002985,15.334663,10.927191,12.744315,12.449117,-6.9739127,8.889169
TCGA-MO-A47P-01,8.9104395,10.493289,-17.883852,-28.22149,-18.913185,16.901047,13.344849,-2.9234715,20.805386,-1.6087518,1.4345167,-0.72528416,1.8672782,1.1934308,1.2638016,-1.8949488,2.3008745,-2.2656283,1.199813,0.18094698,2.1245732,-4.2166333,16.105398,-8.846324,2.643373,-0.4420655,1.2666094,-10.597936,18.034782,15.45382,9.374239
TCGA-WK-A8XO-01,3.7503738,11.146027,1.7851654,-33.83564,-12.625487,18.888649,1.1970525,-3.2472992,7.354321,-2.9047866,4.141495,-1.4459794,3.3792398,2.1461062,1.8883593,-2.1331751,4.057113,-3.0681913,2.1615388,2.877449,2.9175358,-7.2051883,7.669827,-7.05949,-5.5202603,9.631194,12.252988,-2.256881,8.432792,-1.9238113,10.464214
TCGA-IS-A3KA-01,-2.7321854,10.473645,-11.373604,-26.744493,-23.101906,7.1516333,28.37635,-15.154518,-2.7827263,-2.6370432,1.7839926,-1.7086594,2.0957024,1.7199349,1.3263439,-2.27874,3.0858965,-2.9768946,1.4565833,-0.39933312,2.1365747,-10.417601,-5.4124346,-12.004822,2.0336022,7.0345554,14.810464,-2.7816138,15.896768,2.4959934,9.769394
TCGA-DX-A6BA-01,4.262947,17.692507,1.5789196,-24.563587,-17.659996,14.058911,12.533176,-16.4856,14.96046,-2.1585813,2.693524,-0.48645973,1.8919017,2.7824016,2.9358213,-3.166563,2.7520654,-2.9176319,1.3442276,1.9635658,4.135448,-2.455126,3.6593392,-1.2231795,-5.733883,8.01763,9.280517,-11.514283,14.773494,13.3036,19.003931
TCGA-3B-A9HU-01,15.213624,13.030299,-9.852267,-24.795643,-19.204891,11.011686,26.549328,-13.187236,36.56252,-1.4115516,0.8676382,-0.41518632,1.6117638,0.7874142,1.1709452,-1.8147551,1.8000917,-2.1431847,0.7680625,0.25931942,1.897515,-4.1232753,11.734366,-13.621807,-5.566467,4.1018,3.2582788,-22.083296,12.458966,14.296168,13.925573
TCGA-X6-A8C7-01,-0.108970605,22.874428,2.6094463,-30.930988,-5.5957665,20.360243,-2.646534,-0.15081881,-40.876667,-4.0781717,3.3045206,-3.6335683,1.0390509,3.529305,1.6477072,-2.5729544,3.0618887,-4.0739274,0.872703,0.5912024,1.5620726,-8.834412,1.2596276,-19.089731,6.265285,0.40746602,10.289103,-22.103569,24.442627,-3.2387512,2.19505
TCGA-DX-A1KW-01,0.59588534,16.83147,-13.56587,-26.343943,-12.426442,28.095894,-19.965607,-5.0024166,-10.268339,-3.5438654,5.4279943,-1.8944331,3.7937522,4.3963137,2.717331,-2.4154975,4.8680496,-4.435344,2.7138188,0.69282496,3.3335693,-17.452084,6.905256,16.713413,-8.356971,14.524384,6.165366,21.045925,5.902447,-0.5369772,5.709944
TCGA-HB-A5W3-01,8.628908,12.559898,-2.0830586,-25.390285,-22.619932,10.122387,17.044249,-19.483438,22.14623,-1.8664907,1.8399098,-0.36660194,1.6473147,2.0368965,2.3744173,-2.7020187,2.207824,-2.6121716,0.909246,1.210638,3.3628023,-1.0718359,4.3243117,-7.6828976,-7.977859,3.9626703,6.1865907,-8.323403,9.637034,16.747696,16.93399
