,2,3,8,9,15,21,22,26,1,7,9,10,11,12,18,20,21,23,26,28,1,6,13,18,25
TCGA-AB-2872-03,-10.277864,-6.059702,-5.9916415,9.113289,0.480606,11.114034,4.862017,-11.096788,8.251736,-3.2518752,0.3242237,3.3694413,0.99549264,0.24844612,-7.5902824,-4.7666063,-5.0133567,-0.88086784,-4.378672,3.1639674,21.16722,17.220552,29.218206,-7.330557,28.259354
TCGA-AB-2812-03,-12.467277,-8.480286,13.819013,18.564398,24.918669,18.92592,39.777424,-21.692295,2.1956823,-3.8386645,-1.8173358,-1.216862,1.6119784,1.9881923,-2.2045798,-0.44984615,-1.5880432,2.1471982,-0.4298611,0.81888264,34.709385,-16.366972,19.336071,-2.4447105,-30.080889
TCGA-AB-2919-03,-12.463311,-8.04073,8.144044,16.130468,18.707773,17.218262,29.853168,-19.288198,2.1298747,-3.427793,-1.769314,-1.2517052,1.5854424,1.9827842,-1.9497514,-0.11091079,-1.3947519,2.1746285,-0.46391577,0.85152316,10.908347,-12.364078,0.8905929,-13.7179165,-0.9114969
TCGA-AB-2836-03,-15.490097,-10.53943,13.206234,21.014061,24.806166,21.176859,43.56805,-24.206629,2.020344,-4.194336,-1.8232688,-1.0921823,1.6964679,2.164203,-2.4705296,-1.0728687,-1.6155965,2.4039423,-1.1415732,0.04335904,21.31839,-8.327256,20.167702,3.187275,-23.555958
TCGA-AB-2983-03,-13.106665,-8.21435,-0.38828212,13.545245,7.853464,14.902918,17.790897,-16.178308,3.8783703,-5.7086163,-2.200433,-0.4789998,1.7786407,2.3114827,-4.419285,-2.8062265,-2.6423197,2.4608746,-2.6811125,0.47865692,4.647764,10.846244,8.712791,13.374761,12.388025
TCGA-AB-2843-03,-12.778451,-7.994995,-1.1269605,13.0195055,7.1197324,14.391322,16.521034,-15.394526,4.70122,-5.6424065,-2.0111048,0.12017025,1.5669681,2.1258566,-4.9575324,-3.2970924,-2.8372312,1.8415594,-3.0488179,1.156043,0.36366996,6.5323763,9.58736,11.185805,31.620241
TCGA-AB-2978-03,-12.112609,-7.521691,-6.89008,10.3987875,-0.84497774,12.516207,6.30101,-12.422667,5.3673587,-5.8281527,-2.1868112,-0.09584723,1.6645112,1.3524922,-5.542189,-3.2192006,-3.7340038,2.1275804,-3.0518847,1.4361237,3.3790042,1.3008544,-4.7857437,9.230414,20.38085
TCGA-AB-2909-03,-10.498549,-6.3375487,0.29970354,11.610567,9.874366,12.783265,15.786114,-13.919138,3.1088,-3.369537,-0.56831425,0.8154878,0.84017503,1.7250428,-3.6224556,-2.9292731,-2.8841534,0.6632452,-2.9622972,0.05227065,11.184108,11.098692,21.947777,18.70796,43.311836
TCGA-AB-2882-03,-11.583406,-6.714462,-12.100489,7.6738863,-8.17352,10.440418,-4.06569,-9.241778,4.9114437,-6.0563803,-2.3009224,-0.18507168,1.7648991,2.0758467,-5.172953,-3.0678358,-3.110757,2.2155917,-2.6728408,1.2363081,13.437569,13.304894,4.3807745,4.465529,10.526465
