,11,17,27,6,9,13,17,18,22,27,28,29
TCGA-KN-8419-01,-7.0849333,-7.287386,-7.0030427,3.0645316,1.4273455,-0.65758663,2.2996483,-1.7488139,-1.9392489,-1.4811971,1.5983721,-2.0112505
TCGA-KL-8346-01,-7.7615027,-6.878414,-7.193206,3.9165194,1.0978531,-0.04541117,3.52901,-2.2282765,-1.4606471,-1.4092057,0.8040888,-2.9288828
TCGA-KN-8422-01,-6.8514256,-6.918762,-6.702048,3.401949,1.0600114,-0.999857,2.7407305,-1.8356326,-1.8579694,-1.6274031,1.2634475,-2.0942132
TCGA-KM-8440-01,-8.285065,-7.5247087,-7.7690206,3.301027,1.087027,-0.28210092,2.9298778,-1.962563,-1.5590936,-1.3520812,0.8887644,-2.369017
TCGA-KO-8414-01,-7.6670394,-7.5456047,-7.3921,3.442125,1.1649976,0.5067514,3.015845,-2.1463003,-1.1311766,-0.90934205,0.9171522,-2.8926678
TCGA-KL-8323-01,-7.65946,-7.512974,-7.3478274,3.1311054,1.8939743,-3.1428907,2.8561172,-1.7879081,-3.5269492,-3.2516782,2.2208116,-1.1647561
TCGA-KM-8639-01,-5.3409233,-6.268569,-5.5372477,2.3079362,2.6079412,-3.5022912,1.9899987,-1.2688111,-3.990383,-3.7561357,2.6374352,-0.2550701
TCGA-KN-8423-01,-7.626413,-7.9302826,-7.5627456,3.497398,1.4220698,-0.49208,2.9629536,-1.9607257,-1.8439125,-1.6822178,1.1879774,-2.3449216
TCGA-KN-8426-01,-7.01368,-7.4094205,-6.9172297,2.7149575,1.8519855,-1.8893723,2.4298337,-1.5570123,-2.65154,-2.5965998,1.5532949,-1.1285762
TCGA-KO-8416-01,-7.5592556,-7.5735817,-7.3697133,2.9928234,1.8504057,-2.3106592,2.389449,-1.7115712,-3.1465702,-2.6226609,2.330149,-1.4131548
TCGA-KM-8476-01,-7.2437587,-7.1817718,-7.116502,2.815464,1.4502046,-0.7188746,2.3248074,-1.7149639,-1.9705225,-1.6064637,1.2675453,-1.7371827
TCGA-KN-8433-01,-7.1913924,-7.4643426,-7.1014814,3.0398293,1.3935955,-1.5699145,2.1735003,-1.4163901,-2.377791,-1.8221164,2.2143934,-1.9921625
TCGA-KL-8331-01,-8.297647,-7.609647,-7.5966654,3.3540936,1.6789439,-1.9079269,2.7916646,-1.9463192,-2.9466534,-2.4322593,2.1096382,-1.853895
TCGA-KL-8342-01,-7.2245493,-7.456644,-7.087449,3.7674782,1.4371471,-1.2641141,3.1443083,-2.1644883,-2.6004636,-2.0134287,1.8089044,-2.3740702
TCGA-KO-8410-01,-6.914764,-7.4424815,-6.989308,2.862429,1.7896028,-3.059426,2.716519,-1.6121582,-3.1649837,-3.256089,1.6670862,-0.7353744
TCGA-KN-8424-01,-7.9217534,-8.024361,-7.627471,3.7708333,1.4489596,-2.1565855,3.1191714,-2.078322,-2.9819384,-2.4862244,2.126438,-2.027313
TCGA-KN-8425-01,-7.761768,-8.02987,-7.6158276,3.6038105,1.3449941,-0.9397001,2.8447258,-2.0041974,-2.1913662,-1.7536412,1.6598848,-2.321519
TCGA-KO-8409-01,-7.78229,-7.6169176,-7.4406056,3.7180264,1.1576464,-0.1392492,3.2197633,-2.1265368,-1.6111892,-1.3521532,1.0796819,-2.7876003
TCGA-KL-8324-01,-7.237946,-7.283394,-7.0521955,3.283389,1.2119604,-0.33708975,2.8581932,-1.9762405,-1.6456896,-1.4502673,0.9883624,-2.2765462
