,1,6,15,28,0,1,3,13,14,20,24,2,21,22,27
TCGA-AZ-6599-01,10.883168,-4.1126504,19.504663,-7.803701,0.56850284,-3.1474888,-0.475666,3.588001,0.37262553,1.1518339,0.05822403,15.339086,-1.6804595,2.3704712,-4.991153
TCGA-AA-3655-01,15.795826,-10.534151,5.581048,-10.856642,2.0480802,-2.2804246,-0.5421695,4.119546,-1.9902456,0.6461079,-0.48239717,-10.751951,-11.419935,4.1098213,2.0107036
TCGA-A6-6137-01,17.260284,-10.085511,2.1596527,-10.778991,1.2369065,-4.399322,-1.0471271,5.0567417,-1.7865136,1.5494183,-0.23889837,-16.406773,0.5068298,12.173188,3.9114416
TCGA-CK-4952-01,12.464172,-8.000487,21.93572,-7.0291104,2.2861419,-1.3157538,0.012534175,5.8182836,-1.443593,0.49956703,-1.8337278,42.30957,4.0733113,7.505299,-16.116419
TCGA-A6-5657-01,21.979784,-17.6355,-6.0694113,-12.176202,1.0139145,-3.2485604,-1.6974217,3.0763,-1.027308,1.3319517,0.15047985,-3.8935473,-9.91536,8.420053,6.6076393
TCGA-AD-6963-01,14.289671,-9.520158,1.6134411,-10.291905,0.78902525,-4.731188,-3.0528758,3.4025028,-1.4722447,2.5867226,0.3896077,-26.226395,-1.2935936,11.654019,5.4638047
TCGA-A6-6138-01,18.45756,-14.6257925,-4.904076,-11.646637,0.63655806,-4.118599,-1.9008679,3.5977108,-1.2564499,2.0200677,0.14452568,4.1223173,-9.152822,8.778359,10.330404
TCGA-A6-A567-01,16.315659,-10.77958,-7.2269707,-11.586012,0.8350282,-3.9637077,-1.8850495,1.9260079,-0.5261987,2.282413,1.1721164,-27.956865,-2.4280295,10.554635,4.185728
TCGA-D5-6928-01,23.862862,-19.960924,2.950242,-12.056592,1.0225687,-3.6565084,-2.1705024,3.4188874,-0.7638252,1.8698246,0.10852481,-0.01936162,-7.685468,8.033625,5.533522
TCGA-AZ-6598-01,13.654633,-9.527711,18.531496,-7.9149594,2.4168696,-2.7842264,-0.9081314,4.225871,-1.8746542,1.3618958,-0.36851612,41.19787,-7.84406,4.852875,-4.045674
TCGA-D5-6931-01,18.362732,-12.146197,12.384794,-9.555815,1.0526211,-3.4275675,-1.3678073,3.871615,-1.5529025,1.5864862,-0.2147138,8.021006,-5.2298465,8.66763,2.605928
TCGA-G4-6295-01,15.631313,-11.476155,1.2731341,-9.741738,3.2567759,-2.386491,0.6369145,5.6929755,-1.9423763,0.020461503,-0.9207156,-0.81851065,9.843397,2.0413406,-11.564029
TCGA-DM-A0XD-01,13.788384,-8.60616,12.472267,-9.088959,1.1551076,-4.19392,-1.5913271,4.6667366,-1.0910139,1.9735658,-0.22468476,10.404909,1.0786576,10.091922,1.3852817
TCGA-D5-6535-01,16.179289,-10.539627,11.649721,-10.035479,1.8574495,-2.7018018,-0.8201465,4.00357,-1.7004015,0.93240637,-0.22808579,26.087608,4.221791,-2.34474,-13.336836
TCGA-DM-A28E-01,9.471269,-4.052679,1.7887174,-9.484,2.0184522,-3.360666,-1.2379173,3.9245276,-1.9670756,1.5161201,-0.031710688,8.6088705,14.799312,-3.8740876,-27.649172
TCGA-G4-6307-01,11.731569,-5.8805876,-3.144296,-10.794338,2.2822206,-2.8610404,-0.036832634,4.3481784,-1.5510522,0.59853494,-0.15803221,-0.51639235,3.7047753,0.761142,-14.572402
TCGA-CM-5868-01,16.720385,-11.273452,-8.818537,-12.104403,1.1205949,-3.3753035,-1.4198935,3.3043559,-1.3432906,1.5387377,0.1561197,3.8881245,7.8160405,1.0144551,-14.230095
TCGA-CK-4947-01,17.600788,-11.955827,4.818914,-10.337076,1.4866441,-2.6535711,-0.5352765,4.4062867,-1.558077,0.6070577,-0.660596,19.7394,-1.2969408,7.2300544,-8.483665
TCGA-D5-5540-01,12.8672,-8.203566,-4.175794,-10.332197,2.1076984,-1.7763283,0.14409131,3.6065974,-1.9528496,0.49701917,-0.48434946,-0.50650704,-7.506421,2.8224747,6.4807696
TCGA-A6-4105-01,18.869549,-13.17186,2.8473675,-11.278261,1.5163862,-3.1271296,-0.9553108,4.3661036,-2.1389925,1.3283713,-0.49892566,9.810297,-7.515971,5.989016,3.3026795
TCGA-A6-6651-01,27.555443,-22.917572,-23.034365,-14.789782,0.045580503,-2.8423948,-1.1965909,2.1434135,-0.14078408,1.2185442,0.15965788,7.0697217,6.6440477,1.8400152,-5.792942
TCGA-CM-5860-01,18.10953,-13.645896,1.187876,-10.943206,1.5626278,-2.7723882,-0.91973174,3.808138,-1.7026172,0.9155116,-0.3070368,8.988984,-5.2910037,8.488666,-0.9249928
TCGA-DM-A28G-01,14.737023,-7.68224,2.945186,-10.501904,1.626505,-3.3821,0.05226667,4.476554,-1.486313,0.72328585,-0.02826884,4.972149,-2.4220984,2.576987,2.7599154
TCGA-A6-5666-01,11.537702,-5.584918,-1.8030698,-9.7575035,2.46545,-2.5178938,-0.04130084,4.825076,-1.66018,0.25193056,-0.41741446,-4.8171225,6.372029,-5.526069,0.43455613
TCGA-AZ-6605-01,22.25063,-16.738607,-4.7093897,-12.511131,1.0693856,-3.3445508,-1.2300314,3.9757118,-1.5210041,1.26119,-0.29090044,-12.528736,0.15740493,6.963815,5.7743373
TCGA-CA-5797-01,17.08308,-11.764991,-9.546085,-11.506516,1.2223577,-3.3957498,-0.5801653,4.1555524,-0.95278424,0.8237149,-0.09241058,-29.705952,-0.49268714,6.9907255,1.3336858
TCGA-D5-6930-01,19.224586,-14.605476,13.144478,-10.096952,0.40471753,-3.2521093,-1.9982498,2.403118,-0.61838466,1.780844,0.2051978,8.271017,-13.45494,7.328583,7.161432
TCGA-5M-AAT4-01,12.629496,-7.3396707,5.408802,-10.109629,0.26998892,-5.005759,-2.2443497,3.053421,-1.3772334,3.0944905,0.7620088,0.7625121,-10.205856,8.12297,-5.025007
TCGA-D5-6924-01,20.886833,-15.618848,-12.027512,-13.389516,1.0988498,-4.0406957,-0.99027723,4.010797,-1.9300327,1.6606549,0.24643993,-17.391178,-0.76350576,11.799491,7.2165933
TCGA-CA-6718-01,19.230656,-16.619467,7.06501,-10.399751,0.9283689,-2.3180325,-1.0824369,3.8076124,-0.0147732245,1.0297339,-0.6157094,7.8343706,-9.359228,5.6262007,6.819421
TCGA-AZ-6603-01,19.092428,-13.178749,-10.475802,-12.947629,1.0330551,-3.6895082,-1.3088338,3.5868776,-1.4651985,1.6042402,0.1946116,-1.7767383,2.1189399,3.1713417,-8.253811
TCGA-CM-5862-01,15.248915,-9.399674,-9.704029,-11.106081,1.5236584,-3.0874598,-0.24537127,4.219811,-1.0997615,0.6327721,-0.09445512,-8.025911,4.855273,8.741746,8.210746
TCGA-DM-A0X9-01,13.933108,-7.554549,8.103838,-9.474287,2.0436208,-3.6692,-0.78242975,4.8402166,-1.9710088,1.2554469,-0.19519122,38.034954,1.0395536,6.031194,-14.951071
TCGA-A6-A566-01,22.476112,-18.505848,-2.8980672,-12.630609,0.8529795,-3.961721,-2.4543097,2.4020584,-1.5336491,2.5453908,0.23894596,20.977154,-6.2571006,7.2954087,-5.856065
TCGA-D5-6534-01,25.933361,-21.60161,-6.137136,-13.111957,0.40433037,-4.047281,-2.2582047,2.7137346,-0.37778738,1.9851521,0.5584441,15.1431265,-3.0325172,6.7819343,-6.370027
TCGA-CK-6746-01,14.047403,-11.895671,14.479901,-8.291922,1.1494523,-1.5942144,-0.642467,4.297248,-0.085535444,1.2420962,-1.345344,40.282433,-0.89161915,6.793053,-8.16565
TCGA-A6-5656-01,13.913036,-7.6707215,-7.635418,-11.610446,-0.6655565,-5.8024373,-1.7149498,3.794004,-1.4338266,1.9056958,0.59839344,-8.35376,-2.2012691,8.096841,4.3609376
TCGA-5M-AAT6-01,22.495705,-19.487228,1.0290731,-11.051792,-0.32877102,-5.270333,-3.8587978,1.8775902,0.4597741,3.5934117,0.82198274,-1.690818,-0.16630253,3.6313002,-8.001545
TCGA-QG-A5Z1-01,17.425701,-12.181049,-10.207534,-12.370356,0.14100927,-4.190563,-1.8330821,1.993494,-1.0320146,2.601779,1.0644497,0.33455932,-4.528242,7.7374363,-5.954055
TCGA-CM-6680-01,19.458126,-12.699929,6.371046,-11.476641,1.1953185,-3.25542,-1.2836722,3.9270482,-0.79070675,1.2189713,-0.14097346,30.286884,9.158822,-8.986517,-30.865047
TCGA-CK-5913-01,15.791372,-11.723069,21.357914,-8.14645,1.984565,-1.4750125,-0.31453887,4.898281,-1.5805093,0.57029045,-1.3743188,36.770668,-6.1804814,6.058849,-4.8874207
TCGA-CM-6172-01,17.650124,-11.197964,3.033165,-10.771325,1.4039478,-3.1289775,-0.756026,4.0305166,-0.8367942,1.0948515,-0.13135085,20.35352,-0.02557751,0.662637,-3.6179729
TCGA-G4-6309-01,14.554227,-8.03931,16.593958,-8.759977,1.6137964,-2.8294218,-0.90497047,5.38445,-1.8120884,1.2347682,-1.1903497,1.4075178,3.2615225,5.218766,-15.073059
TCGA-F4-6461-01,20.55119,-15.587062,3.0465686,-11.059595,0.6536111,-3.7903945,-1.7156281,3.613384,-0.28792658,1.900457,0.09196775,33.973373,0.80429155,5.3240156,-6.9311647
TCGA-G4-6299-01,18.702015,-15.73437,6.12284,-10.739211,0.9837211,-3.877691,-1.6909772,4.3722425,-0.69967884,1.7669587,-0.1990235,15.805437,-7.650632,4.2165174,0.8799777
TCGA-CM-6168-01,23.476933,-18.346895,-5.396966,-12.308039,0.96739364,-2.6231823,-1.1562637,3.011143,-0.93308175,1.0013847,-0.11876929,8.322031,-4.8157334,8.173233,-4.7334557
TCGA-AD-A5EK-01,14.538618,-9.45358,-6.8433337,-11.897949,1.38645,-4.2265534,-2.3044813,2.027896,-1.6347514,2.9333456,1.1333294,9.798419,-6.827689,10.261987,2.8586707
TCGA-AM-5820-01,16.243603,-12.173526,-6.875249,-10.667378,1.3761532,-2.9063814,-1.0351367,3.0659385,-1.0186757,0.9802437,0.28478688,16.860096,2.878972,-8.986191,-18.248138
TCGA-A6-6648-01,15.718937,-8.447785,3.4503999,-9.970453,2.0617158,-2.808885,-0.6871325,4.9592695,-2.719715,0.91727793,-0.8162739,-29.389061,-2.1662436,6.5870924,11.021065
TCGA-CA-6717-01,23.523754,-18.290743,-1.468284,-11.834873,0.7823576,-2.2395723,-1.218996,2.6161096,-0.42688859,0.9037901,-0.1764257,-5.564735,-1.2536894,5.1650066,-1.4121641
TCGA-AU-6004-01,18.717983,-14.204349,11.922939,-10.550381,1.435605,-2.1053212,-0.88843524,3.840659,-0.93004984,0.73037213,-0.6250804,27.645107,-6.15903,1.3198638,-6.599166
TCGA-DM-A1HB-01,11.709642,-7.00722,25.800161,-6.2078624,1.3886342,-3.001044,-1.3489243,5.5247207,-0.8991185,1.5073798,-1.2919829,16.138548,-11.210197,8.288264,5.3462973
TCGA-F4-6856-01,14.452228,-9.478269,19.527979,-7.969892,0.39835873,-4.144622,-2.0091906,3.5515175,-0.5718887,2.1664128,0.08788863,-2.2377741,-5.112499,9.874018,8.263529
