,1,2,3,6,8,11,13,17,21,24,25,26,27,29,0,1,5,6,8,11,12,13,14,15,16,17,18,19,20,23,24,26,28,29,0,5,7,8,9,20,21,23,24
TCGA-B1-A657-01,12.677173,-21.501175,-1.1560634,-27.703667,22.203459,32.62289,14.297928,11.793305,-7.807517,29.248196,16.387894,-24.371773,11.050777,-34.709686,1.892173,-3.3875332,-0.1112802,-2.6482246,-3.4505591,-1.9189073,-2.7581978,3.1018617,-0.38343439,-0.4369113,0.2192469,-2.4026923,0.79438406,-0.17801274,0.4086945,0.044216286,-1.5089974,-2.4436104,-2.7910354,-2.3085983,9.268958,-10.079676,-6.2071276,-16.083515,15.497882,10.360552,1.4026514,7.8370867,-5.015621
TCGA-A4-A5Y1-01,2.3913229,-6.013737,-10.911458,-34.681007,25.912037,37.68182,16.816416,9.837426,-5.807108,33.430454,22.076824,-30.446667,1.5117639,-9.478448,1.5420471,-3.169255,0.02386763,-2.041526,-6.192919,-3.1316204,-2.18754,3.8479168,0.9548044,-1.5520958,-1.6872187,-2.9999826,-0.15300368,-1.9173568,-1.525554,1.2166458,-2.2270103,-3.6582263,-2.533171,-2.0555086,-22.447449,-2.9773083,-6.05728,-24.699295,22.07674,14.2778425,-8.971279,-15.581864,-11.750219
TCGA-Q2-A5QZ-01,5.953595,-23.231087,-4.2543545,-26.091187,22.177876,31.378252,15.254958,4.771684,-0.8434352,30.254063,18.378284,-26.064754,4.6994867,-1.5195377,2.411531,-4.0295563,0.38475943,-1.8176645,-4.3762455,-2.1315246,-3.2501163,4.003643,-0.038263097,-1.0729718,-0.7285901,-3.7160678,1.6083322,-0.2739125,-0.590667,-1.2073686,-2.3468332,-3.5250223,-2.6053505,-2.6136675,1.45396,0.14871927,3.8588989,-19.89629,26.373838,-1.4961733,-46.670864,-2.9214413,-17.98272
TCGA-A4-8312-01,-9.972998,1.563186,-15.656145,-29.74944,25.696451,33.667828,14.378246,4.8427744,-0.0025967006,28.830942,21.775284,-24.207735,-2.669963,73.54914,1.1413071,-2.1019452,0.80705416,-1.0772785,-1.9027327,-0.92770344,-1.0908661,2.0838099,-1.2070768,-1.1519206,0.05018896,-2.8982365,1.3673384,-0.7721875,-0.23286583,-1.9334135,-0.72142625,-1.2116534,-1.7262961,-1.5698345,-11.297083,9.008419,-7.5066204,-11.049788,14.361007,-6.685884,6.684294,5.1657114,-7.2467217
TCGA-UZ-A9PX-01,8.847153,-17.36177,0.31428346,-28.481781,23.40941,35.19304,14.512123,15.90241,-11.161383,29.443695,16.932877,-23.247799,12.074064,-53.102528,1.7584202,-2.0308435,-1.0966991,-1.4905759,-3.0974565,-1.1342666,-1.3558471,2.3629613,-0.30838192,-0.0035907188,0.24112372,-2.5685608,0.41168532,-0.25140703,0.87696725,-0.5640503,-0.96025807,-1.3568323,-1.4168353,-1.1803266,19.18662,16.62955,-6.0577946,-9.638697,13.71111,8.911018,9.527744,9.735551,0.16672137
TCGA-A4-8311-01,-5.189625,-8.31704,-5.1952696,-27.83441,22.891584,33.20464,14.675922,14.410833,-9.179218,26.691584,16.911943,-19.84988,7.4808455,-61.00338,2.3749275,-2.7289586,-0.3209479,-2.5265825,-3.4419646,-1.8052607,-2.7548764,2.9284272,-0.35504857,-0.73408395,1.0291361,-1.9345679,0.5757901,1.2119899,1.4037774,-0.61442786,-1.7237378,-1.718807,-1.9209253,-1.9507211,4.880219,1.013746,-5.249469,-12.651277,11.6238165,15.2010145,8.544817,8.415919,0.52390265
TCGA-GL-A9DD-01,18.421762,-22.997166,-0.9752244,-31.054213,24.16323,36.321407,15.495374,12.505911,-8.251218,33.240772,18.522133,-29.336735,12.928908,-22.742668,2.050221,-2.6197739,-0.014543738,-2.1955364,-4.607778,-2.5781534,-2.0885355,3.7433195,0.7731837,-0.8560283,0.54438734,-2.0398767,0.90318596,-0.44968438,0.44624195,0.27703902,-2.0041935,-2.2514014,-1.4445146,-2.1104643,-0.72424895,-9.406281,-9.536694,-17.790802,17.49872,2.7084966,0.2789427,7.871658,-12.945912
TCGA-F9-A4JJ-01,-19.580383,6.148262,-16.363031,-30.592115,25.050226,32.94213,16.215002,0.18767163,4.0323358,29.995705,20.865921,-25.826984,-4.8918304,30.095636,1.3461734,-2.3926306,1.0508107,-2.2769403,-2.6580803,-1.6911472,-2.1876385,2.1703641,-1.1029824,-1.5990521,0.084790826,-1.975489,1.1517566,-0.15514927,-0.43788627,-1.2603853,-1.2828374,-1.5804003,-1.5973489,-2.118243,-15.743263,-17.61272,-3.9276977,-22.052744,26.261541,-10.397216,-45.512753,0.30480963,-14.955162
TCGA-IA-A83V-01,14.763752,-16.726837,-1.0845016,-33.117256,25.579626,38.64621,16.90864,12.72766,-6.886506,34.998444,19.873749,-31.775454,12.925799,-10.580067,2.4848282,-3.1323183,0.41784865,-2.7112632,-4.5565157,-2.7186806,-2.7084718,3.560657,-0.02396502,-1.0317472,0.13914843,-2.3986104,1.8486027,0.112473324,0.084078945,-0.9753677,-2.633511,-2.792321,-1.6428702,-2.6807923,0.8926808,-2.6475763,-10.268003,-13.356287,14.351951,6.60291,6.035574,6.962881,-6.0934067
TCGA-SX-A7SO-01,9.061298,-11.034444,-10.334735,-28.720997,22.136997,30.587532,14.693826,11.244357,-7.988084,27.59845,19.665024,-25.838678,3.0405455,3.6231632,1.6326983,-2.1803498,0.6527414,-1.7101696,-4.7605042,-1.9336451,-2.4734938,3.7709997,0.28212923,-1.4230946,0.31406417,-2.31201,0.51465744,0.99247766,0.3150337,-0.26887268,-1.6066762,-2.0735607,-1.5047709,-1.123982,-4.4156337,15.473111,-15.975107,-16.727169,18.805136,3.031806,-9.112847,-3.4159234,-9.043826
TCGA-PJ-A5Z9-01,6.698464,-17.8582,-0.76986146,-26.413834,21.49363,32.757214,14.977074,14.462315,-9.444491,27.222168,16.41854,-22.641478,10.977953,-47.17588,1.6552441,-2.4737937,-0.26420265,-2.1100788,-4.1622524,-2.1130922,-2.03124,2.9499686,0.26653433,-1.430864,0.1594939,-1.934711,-0.88458335,-0.2529109,0.437448,0.8147643,-1.4170959,-1.9695697,-2.365177,-1.7810622,4.3040047,1.7301874,8.412198,-11.573833,18.77317,10.899347,-24.786959,6.4016037,-7.7017126
TCGA-F9-A8NY-01,-16.98387,4.209473,-15.592825,-28.284271,23.30511,30.191504,14.819838,1.4514298,2.4075973,27.369621,19.722748,-23.621752,-4.7646885,29.951942,1.6828336,-3.2843895,1.50401,-2.6589205,-3.9476476,-2.1990452,-2.9827836,3.2856162,-1.2050217,-2.437351,0.09662853,-2.843496,0.9107417,0.19146146,-0.5258279,-1.4471874,-1.6777527,-2.3125334,-2.5934186,-2.665246,-11.8632345,-13.464173,4.0493298,-23.333677,30.494686,-9.598919,-48.86958,4.319758,-15.587523
TCGA-G7-7502-01,5.978694,-12.268913,-2.3744957,-33.27815,25.719034,38.804623,16.627413,12.629326,-7.347107,33.20555,19.466097,-28.443304,8.952142,-33.67166,2.503136,-3.2646492,0.101160675,-3.0118694,-4.634922,-2.7267835,-2.872405,3.5945153,0.07355135,-1.108364,0.38613218,-2.2107787,0.8339622,0.26075184,0.5862745,-0.17561342,-2.3565772,-2.677614,-2.36177,-2.633221,-1.67976,-12.499746,-6.9022837,-19.502205,19.806313,8.199159,-4.0882697,6.2951307,-9.209544
TCGA-MH-A856-01,-8.026667,-6.6301613,-5.8124614,-32.540836,25.689262,37.60006,16.568243,8.881719,-4.611716,32.12321,19.143484,-25.436363,4.2480917,-42.378292,1.623984,-2.1915367,-0.52113503,-2.4604497,-2.8445227,-1.8280368,-1.4875004,2.1508815,-0.32173583,-0.5401609,0.3506481,-1.4044191,0.27601105,-0.58728045,0.3712853,0.021833196,-1.3171712,-1.5682354,-1.5316578,-1.8748996,4.603634,7.567532,-5.5938497,-14.2924185,15.530444,6.909667,8.186095,2.7681313,-4.244071
TCGA-BQ-5879-01,-16.52505,12.6759205,-17.205091,-32.35686,25.856836,34.729664,16.56238,4.1797137,0.668117,30.594553,21.612627,-27.741966,-2.574359,37.367985,1.9780629,-2.536226,1.1691141,-2.6094255,-3.0758972,-2.1119485,-2.3076339,2.044356,-1.9124401,-2.0583577,0.4490791,-2.5531619,1.981463,-0.024859536,-0.014965655,-2.4090922,-1.6495496,-1.2620175,-1.4888815,-2.6109142,-12.900744,-11.557485,1.8400712,-24.278048,28.845375,-10.448962,-52.124035,0.05117683,-20.558966
TCGA-MH-A855-01,10.440845,-12.052631,-5.6580048,-30.315582,23.28522,34.103546,15.5131645,11.333052,-7.104672,30.662077,18.991167,-27.499058,7.780238,-10.361262,1.7717144,-2.1791053,-0.004537262,-1.3653857,-4.516518,-2.5149505,-1.9708704,3.125177,1.7102665,-1.1789377,-0.17000392,-1.8387027,0.17346866,-0.29222786,0.085056104,0.75102955,-2.2723916,-2.3378482,-1.0077624,-1.6781209,2.5280921,11.08036,-0.6488824,-12.610692,18.192875,2.3260746,-33.16404,-1.212678,-14.79005
TCGA-2Z-A9JP-01,15.812118,-30.618467,-0.09646323,-25.01607,20.978014,30.656155,14.512942,9.63955,-6.302554,28.981266,16.284294,-24.303484,11.063397,-28.005926,1.9184017,-2.832266,-0.44190675,-1.5207707,-3.0808694,-1.5118393,-2.6008556,2.3740168,0.59459823,-0.6103875,-0.31942922,-2.4010746,0.2821784,0.4063871,0.41371432,-0.06339328,-1.8273572,-2.3113315,-2.002065,-1.7369,8.812253,2.2084765,-19.45004,-20.68333,20.135067,1.8176455,-12.672851,13.084815,-3.8272583
TCGA-DW-7840-01,6.8813596,-20.965199,1.1422902,-28.064274,23.642376,35.12081,15.247155,12.6057625,-7.5691447,30.186085,16.732319,-23.598457,11.098593,-49.3567,1.8398945,-1.6673275,-0.88188636,-1.9317228,-3.1154222,-1.6274056,-1.1721671,2.326003,-0.036361367,-0.55992454,0.8352743,-1.5106567,0.07748948,-0.1867836,1.1404958,-0.116971985,-1.1632218,-1.0622746,-0.9715165,-1.3936967,21.48231,22.891712,-11.96375,-10.091147,12.550954,10.737235,10.40136,3.2776866,2.1185014
TCGA-DW-5560-01,-9.240192,-12.35475,-3.7864466,-29.984787,24.877575,35.612347,15.999534,8.694193,-3.6785104,30.238728,18.04065,-21.923294,3.226017,-56.94427,2.2243578,-2.111309,-0.37707934,-2.2447073,-3.2836826,-2.0643513,-2.078072,2.203715,0.009981408,-0.7653734,0.34917995,-1.584309,0.73659366,0.74840045,0.8316965,-0.80034024,-2.1971297,-1.7291585,-0.9109762,-1.9305168,18.911486,40.95722,3.290344,1.4686146,7.301674,-0.15164088,-12.614519,9.146449,-10.023752
TCGA-BQ-5892-01,13.9220295,-8.76017,-6.961124,-32.178135,24.529367,35.39779,14.957855,11.7740555,-6.6544437,32.813034,20.864727,-30.492514,6.9666357,20.901646,3.132039,-4.2970366,-0.22125094,-1.2244142,-6.658417,-2.6903987,-3.8988392,5.103103,1.5490443,-0.6803348,-0.79403776,-4.4548316,1.7984631,0.41707063,0.10397023,-0.95078033,-3.1362972,-4.2495418,-2.0559852,-2.3203378,-2.2742443,6.6327906,-12.334506,-21.795912,20.821497,5.7977557,-11.49356,0.50748724,-10.934428
TCGA-BQ-5875-01,-0.23475699,-2.5649107,-15.311913,-27.202478,21.205694,28.287413,14.059788,8.23008,-5.98697,25.473911,19.162548,-22.948336,0.21133506,13.24702,1.6229659,-3.5908296,-0.114950985,-0.60363084,-4.685985,-1.7579015,-3.032367,3.5173678,1.3152084,-0.81026566,-1.9595209,-3.8653932,0.1009532,-0.74624634,-1.2242515,0.23731254,-1.9318653,-3.6854866,-2.5419242,-1.5916427,-2.4472404,11.336932,1.7949946,-19.269901,25.736353,1.7664995,-49.20947,-6.8183684,-16.550041
TCGA-HE-A5NJ-01,-11.465809,-3.039781,-6.719461,-29.498995,23.678183,34.95696,15.586199,12.848873,-7.4338713,27.874847,18.112494,-21.30846,4.914924,-55.660572,1.680922,-2.4085596,-0.06188604,-2.4059367,-2.928167,-1.5460284,-1.9181193,2.5099888,-0.9447019,-1.1106629,0.60780716,-1.7307396,0.043198023,0.0012455191,0.6149522,-0.721842,-1.0864701,-1.3972958,-2.068499,-1.8889537,2.8761568,-7.470031,-2.367587,-21.856016,20.699217,16.798574,-10.687264,10.595552,-1.6406046
TCGA-G7-6790-01,20.611849,-18.290758,-2.7256627,-27.213463,20.190857,31.682356,13.943056,16.28585,-12.680985,27.653673,16.915716,-26.149519,12.961291,-22.32148,1.8806245,-2.7401967,-0.2950721,-1.6614606,-4.8517365,-2.2647662,-2.3635402,3.5847805,1.0087061,-0.47544503,-0.30864084,-2.590857,0.7306845,-0.2698425,0.052259833,0.22768603,-1.9807792,-2.6090176,-1.6123574,-1.6406939,5.3443794,-9.502117,-11.365223,-17.979336,16.24311,11.593255,3.1886482,6.515867,-2.3364384
TCGA-B9-A5W9-01,-5.333507,-1.215726,-9.641501,-29.051973,21.601131,32.43462,15.767549,12.780613,-8.228888,26.080719,18.183386,-23.358461,3.8975418,-34.71937,1.5989784,-2.896653,-0.37979093,-2.7160404,-3.9504306,-2.0135076,-2.3161774,2.6485105,-0.50532633,-1.4577091,-0.27203366,-2.137754,-0.9535476,-0.2369849,0.0976233,0.541388,-1.22862,-2.1428614,-3.0445068,-1.9169028,-8.029489,-14.972142,-2.7883236,-27.131449,24.960165,13.762048,-20.35507,-4.4205923,-4.0281467
TCGA-GL-8500-01,0.36762518,-10.516306,-6.9110575,-25.935434,19.932007,29.727665,14.465148,12.663984,-9.764397,24.685566,16.319273,-20.247177,5.6365747,-44.8303,1.5949411,-1.9870815,-0.0057092756,-2.304825,-2.9311209,-1.2659963,-2.3572512,2.7320452,-0.82999146,-1.192521,1.0965688,-1.4496188,-0.19849412,1.3327087,1.047939,-0.42277363,-0.80799264,-0.9962674,-1.6985646,-1.0624479,11.369883,4.5654664,0.1643729,-12.090341,12.294358,5.0560646,6.34864,6.05005,-5.1195626
TCGA-V9-A7HT-01,12.937855,-17.941488,-2.702398,-32.72897,25.23387,37.556995,16.17703,11.334779,-7.025077,33.858974,19.299759,-29.64112,10.000581,-23.963854,1.5244198,-2.2122493,-0.3032105,-1.7632614,-3.9553113,-2.1156166,-1.6798769,3.0377343,0.8317577,-0.8511847,-0.010602452,-1.783548,-0.1671016,-0.8628577,-0.035000138,1.2791243,-1.4767632,-2.136278,-1.5392176,-1.5308502,3.7526422,-13.229194,-9.549375,-21.722612,19.615248,5.6445975,-5.7063775,5.671314,-5.617207
TCGA-P4-AAVK-01,9.78117,-12.422562,-7.325251,-28.853271,22.024258,32.149033,14.532655,11.176464,-7.690282,28.941504,19.155914,-26.427269,5.720255,-7.8150897,1.774971,-3.270966,0.45431656,-1.6705817,-5.664513,-2.720573,-2.9419749,3.8656983,1.2039617,-1.6846007,-1.2349097,-3.113062,0.100730695,-0.4469114,-0.8057415,0.75334316,-2.3817606,-3.5005667,-2.6803794,-2.0215216,-8.433502,14.704339,-7.835883,-21.699213,23.477169,11.313446,-20.529907,-5.848589,-14.392214
TCGA-PJ-A5Z8-01,4.379187,-6.61183,-6.7632103,-34.323,25.932364,38.05673,16.858953,9.5026655,-3.9052043,33.97169,20.556925,-30.603636,6.007721,-6.585883,1.7325726,-3.3563683,0.5690819,-3.0146513,-4.6162963,-2.5776315,-2.708902,3.6445332,-0.2006565,-1.3249215,-0.3196502,-2.4742908,0.4829623,-0.7658484,-0.4482414,0.7881731,-1.7602105,-2.9484816,-3.159795,-2.4891965,4.5038123,-4.9369726,-3.4723914,-15.54872,19.912098,-7.2915907,-34.309486,3.1236532,-16.513485
TCGA-B9-A44B-01,0.18543883,-10.619534,-10.811421,-29.298052,23.051323,32.028095,15.213868,7.5902076,-4.3843293,29.403547,20.465929,-25.94573,-0.015043024,-2.8644285,1.7069556,-3.1940472,-0.28538367,-1.8622134,-6.103274,-2.8159328,-2.6617396,4.0000186,0.9071712,-1.1413131,-1.0551466,-3.1630538,-0.038362905,-0.96554923,-0.7336097,1.0939765,-1.9887012,-3.1623008,-2.378578,-1.7096794,-6.8866954,9.020184,-5.4055743,-27.88104,31.51685,12.34692,-27.436111,-16.828217,-8.658106
