,1,2,4,6,7,9,11,12,16,18,23,24,27,28,1,14,25
TCGA-SH-A7BC-01,5.721887,-3.3505983,-3.418938,3.854559,-4.0925884,2.1557791,-6.804723,-8.632914,7.1440454,9.500357,10.604983,1.3174573,-3.6640623,0.87524253,5.771536,2.3377805,2.0332754
TCGA-LK-A4NY-01,5.3532996,-2.597945,-2.688246,3.6941574,-3.8513212,3.5879807,-6.7856455,-8.989036,6.7569633,9.629288,10.674622,2.7588196,-3.0120814,0.5213381,5.5557404,4.715078,1.5867177
TCGA-3H-AB3L-01,6.7585325,-6.0919943,-6.1588044,4.2435894,-4.8850393,-5.733945,-4.7235785,-5.1025515,7.231994,6.900196,8.168561,-4.387093,-5.6319985,0.6100044,5.4441023,2.9292061,3.0166593
TCGA-3U-A98F-01,3.8899431,-0.8672587,-0.8358302,2.7703907,-2.7925508,7.201278,-7.0023994,-9.498265,5.6748304,9.411906,10.21108,4.97703,-1.5760593,0.97681874,8.318607,1.0199819,-0.8271771
TCGA-NQ-A638-01,6.585793,-5.6023006,-5.6733365,4.14913,-4.703031,-4.1868544,-5.2432947,-5.8254066,7.2646346,7.4301434,8.64496,-3.549398,-5.3313193,0.6597872,5.998829,1.8434815,0.47610757
TCGA-MQ-A6BS-01,6.2080693,-4.5672455,-4.6291833,4.0728965,-4.491303,-1.6850556,-5.6074133,-6.8584604,7.0553727,8.147077,9.299241,-1.1364275,-4.4506626,1.0482861,8.674105,-1.4374846,-2.8273137
TCGA-ZN-A9VV-01,4.0637755,-0.55075765,-0.60801536,3.058573,-3.001163,7.936497,-7.027784,-10.058807,5.698018,9.9135895,10.7813425,6.3837256,-1.269726,1.3829976,7.8804307,3.1872408,-0.34991577
TCGA-3H-AB3X-01,4.23808,-0.40571478,-0.52587074,3.2409363,-3.0773392,8.928792,-7.723364,-10.854873,6.1637893,10.735091,11.60348,6.929019,-1.3192097,0.61387724,2.868882,6.085344,4.8513103
TCGA-3U-A98G-01,3.5957527,-0.1781501,-0.058438245,2.5332186,-2.5154166,9.832915,-8.083171,-10.862164,5.94799,10.495896,11.228009,6.254881,-1.2294588,-0.19811039,3.8314185,5.8317647,5.940285
TCGA-TS-A7PB-01,6.716769,-5.106743,-5.2414517,4.3671265,-4.8391714,-2.550753,-5.78299,-6.9272556,7.513224,8.427845,9.699441,-1.7968578,-4.9840603,1.1865753,6.5347476,1.4325341,0.42699835
TCGA-LK-A4NZ-01,5.676351,-2.523045,-2.721539,3.937959,-4.0868707,4.2617764,-7.23881,-9.760969,7.1486387,10.385069,11.510911,3.5542123,-2.9924996,1.77922,6.48296,0.911309,0.020018537
TCGA-ZN-A9VP-01,5.3116937,-2.798363,-2.8489401,3.552502,-3.8214118,3.030512,-6.7145176,-8.642826,6.7322106,9.313521,10.3110895,1.9007978,-3.259846,1.1339126,4.147546,6.917893,4.9139466
TCGA-SC-A6LQ-01,6.459144,-5.3473864,-5.4253464,4.0477414,-4.596221,-3.388772,-5.5203385,-6.181742,7.3084865,7.698106,8.902409,-3.1453028,-5.1854997,1.1580824,6.187723,4.006128,3.2043772
TCGA-SH-A9CT-01,5.688597,-3.0367684,-3.089606,3.9293435,-4.0920544,2.9228556,-6.918993,-9.02884,7.0863643,9.78576,10.900765,2.1739402,-3.4186087,0.7780055,6.3447757,4.1198764,1.8508631
TCGA-UT-A88G-01,3.3094802,2.6426437,2.5062613,3.0035238,-2.412625,17.91586,-10.107757,-15.159112,6.212339,13.958059,14.732192,13.93985,0.932766,1.5494705,6.4515486,7.2799716,3.2070398
TCGA-UD-AAC5-01,5.1433063,-2.4762409,-2.4811122,3.5406077,-3.7162344,3.7437487,-6.6931252,-8.878392,6.555651,9.383054,10.387518,2.8661659,-2.849667,0.7994143,7.864646,0.85462976,-0.765771
TCGA-MQ-A4LV-01,5.033602,-2.5734723,-2.614172,3.3903306,-3.635184,3.5680683,-6.7307234,-8.696444,6.5670967,9.247929,10.2802515,2.3315635,-2.9667237,0.935058,6.6596546,0.12932876,-0.14039902
TCGA-3H-AB3U-01,7.0112057,-5.953128,-6.069976,4.4553394,-5.0278344,-4.8140016,-5.2518992,-5.9303093,7.5944324,7.7160177,8.961267,-3.6432662,-5.5881524,1.3922145,6.6546907,2.7756658,0.4191557
