,0,11,12,16,19,20,29,0,8,10,12,13,23,25,27,1,5,27
TCGA-69-7978-01,-22.812307,-5.6458383,14.268653,-8.756481,10.208819,27.043205,-6.5425253,-0.33477744,0.82249445,-0.16388197,-0.49004367,1.7818617,-0.38543335,1.9155664,1.2142177,1.4110872,0.6749975,16.947674
TCGA-62-8399-01,-19.95282,-1.9134647,0.80183727,-10.869435,14.382925,23.589628,-9.740088,-0.86108005,0.7350932,-1.3580887,-0.43912157,1.814841,1.4519423,1.907366,0.8128501,-0.28389984,5.251809,-17.255127
TCGA-78-7539-01,-18.35599,-3.9158292,-0.91311115,-6.848655,-3.6753712,22.356287,-4.392712,0.56910473,-0.45322722,0.4038451,0.21059875,0.4717285,0.61299103,1.1982201,-0.13681693,-21.507729,-3.4136627,-29.005245
TCGA-73-4658-01,-22.716757,-2.546907,13.872743,-17.026829,5.8683443,25.292078,0.67370534,-0.9851144,0.31039882,1.2152476,-1.4038233,2.1631238,0.31454027,3.2225332,1.0953999,-8.78788,-5.5709944,1.4380327
TCGA-44-6775-01,-25.91539,-11.582457,13.395649,-4.3969593,-9.61395,32.974556,-1.0149103,-0.40197495,0.2642113,1.7943814,-1.1671861,1.2989868,-0.2948541,2.5490155,1.6287534,-1.8533384,-5.2946453,15.525608
TCGA-62-8397-01,-20.401222,1.7585573,-0.4536931,-11.8225565,-2.8950803,19.84186,-1.3800011,1.0982046,-0.32043028,-1.1434553,1.0738161,2.32781,2.6775289,2.0532515,0.10079585,-6.4785256,-24.724585,6.8614235
TCGA-53-A4EZ-01,-24.032032,-8.650586,-12.008586,16.138912,1.2823137,20.828142,-2.1039033,-0.85785866,-0.53569645,0.5399512,-0.79405516,0.88075155,-0.52979285,2.2977333,0.60262173,-6.3094544,0.69135875,27.14942
TCGA-50-7109-01,-24.172667,-8.227183,-12.189799,3.597694,7.1822305,25.172506,-4.3327856,0.26927143,-0.39495903,0.9012447,0.44116357,1.9529777,0.9161225,1.8795166,0.78326696,-5.7255163,9.205277,23.120571
TCGA-38-6178-01,-21.569685,-6.9685073,10.076006,-5.9112372,-9.044164,27.505335,-6.5953364,-0.8836501,0.4796505,2.286229,-1.6841648,1.5948219,-0.2892871,3.1468744,0.87615657,-9.230068,-18.401274,12.342155
