,0,1,3,5,7,8,12,13,16,18,23,24,25,26,29,0,1,2,3,4,5,7,8,9,10,11,12,14,15,16,18,20,22,25,26,27,29,0,1,2,5,6,7,8,9,10,13,16,18,21,25,26,27,29
TCGA-VD-A8KM-01,9.988424,8.93868,-10.237966,0.8393107,-10.533956,-10.91804,-10.065609,8.869966,8.497915,-10.981056,-3.0987992,-0.05840779,9.084048,7.6964254,-9.672155,0.50663924,0.88911456,-5.893318,-1.545539,-1.3280954,-2.372848,-2.9296556,2.5348294,1.8756533,3.5401227,2.3261611,-0.47991875,6.50073,-1.1458708,2.5988276,2.1153514,1.1970415,4.355671,2.593511,-1.2171038,3.0781171,-0.7194143,16.956022,-28.451427,-11.1192,-16.462791,11.121533,1.0879753,7.255088,-10.284628,11.082027,23.276459,9.591315,-21.016254,-13.73797,-17.80352,9.149621,6.1006913,14.995979
TCGA-V4-A9F4-01,8.043455,7.316135,-8.158318,3.202947,-8.535773,-8.791086,-8.172421,7.0907407,6.7023797,-8.763147,-4.2423525,-2.465799,7.4487696,6.624968,-8.068487,-1.9647115,-1.2728711,-5.502055,0.20909716,0.34609115,0.05419501,-3.8973913,2.3497443,0.79413795,5.9388986,4.306091,2.6669767,6.701498,1.4075472,3.844406,-0.84134305,-2.7710812,2.806175,6.5602455,-2.6330044,5.69254,-2.1781836,6.949692,-17.43552,-12.733637,12.749246,9.616882,16.059385,8.309334,-23.70285,7.1859407,3.2556274,27.734697,-6.201736,-39.012226,-25.264574,28.583738,20.890867,-4.374948
TCGA-WC-A881-01,8.519601,7.75507,-8.656141,2.7590194,-9.0387945,-9.3750515,-8.654323,7.484403,7.173581,-9.302357,-4.0495467,-2.045933,7.812931,6.8881927,-8.450538,-2.496361,-1.6312231,-5.3269224,-0.13939472,0.09037167,0.15298745,-5.050566,1.4419527,0.08952167,6.544775,4.4290953,2.8032947,7.0064826,1.9946007,4.180468,-0.92031044,-2.664504,1.6872082,7.5011644,-2.988848,6.0964236,-2.9005516,11.6831455,-17.199274,-10.171549,3.6263871,15.853748,18.090952,8.279286,-21.125677,8.675018,7.393356,20.24939,-9.259197,-24.587206,-17.494774,22.199247,18.455172,6.162384
TCGA-V4-A9F1-01,9.242186,8.320276,-9.408238,1.8492433,-9.762817,-10.072984,-9.329701,8.180976,7.8335137,-10.13621,-3.6190848,-1.1352179,8.481893,7.353081,-9.058237,0.03351218,0.8802806,-6.505232,-0.93159,-1.5103619,-2.3929746,-2.8213625,3.3083055,2.0084484,4.935273,3.4006793,0.4049849,7.2759237,-1.0028052,2.967178,1.9158211,0.17329018,4.812413,3.098216,-1.9319654,4.0043154,-0.6370891,13.346165,-7.2704296,-18.578505,-16.065582,26.33314,21.736933,15.790717,-18.47092,3.3361833,11.9148855,-5.1674833,-13.455496,3.1042993,3.8231423,3.6731536,21.094727,26.892078
TCGA-VD-AA8N-01,7.703045,7.05294,-7.5825305,2.0836782,-8.050718,-8.253266,-7.7945175,6.8312163,6.3274016,-8.539906,-3.588178,-0.5045285,7.3047113,6.22614,-7.670517,0.7520111,1.6871953,-6.7967877,-1.6558539,-2.2784574,-2.9226093,-2.801286,3.122569,2.2636774,4.280371,2.924448,-0.6010557,7.6319585,-1.8913463,3.0053172,2.716742,1.3678714,5.1544065,2.8920271,-1.5962894,3.3882926,-0.34116036,16.49244,-30.423473,-13.725565,-14.88209,17.097118,6.566706,3.7168381,-11.248618,5.4209943,20.415115,9.073746,-24.055542,-11.624676,-12.863025,11.067024,6.4279833,17.704315
TCGA-V4-A9EY-01,7.149177,6.5790944,-6.8689237,2.582572,-7.4461894,-7.589646,-7.276002,6.3314185,5.6882057,-7.9809923,-3.8379343,-0.5152302,6.9635706,5.792476,-7.1769543,-2.001974,-0.75637007,-5.617713,-1.0244595,-0.8481885,-0.86719817,-4.755253,1.8866106,0.79363734,6.3315263,3.859117,2.4803605,7.2544465,1.0761381,3.6607034,0.44682193,-0.8816062,1.7828813,5.861706,-2.6728382,5.1662006,-2.3000124,2.8529942,-5.101701,-17.30572,1.117925,20.77521,24.10291,15.757477,-25.361404,-3.8422554,1.4926515,9.079336,-9.101455,-15.682292,1.8213133,19.382753,29.713491,14.038541
TCGA-V4-A9EI-01,9.209858,8.33109,-9.376269,1.9877679,-9.740674,-10.018334,-9.279089,8.143263,7.826418,-10.069979,-3.7351305,-1.3187028,8.399852,7.346805,-9.011902,-0.03130525,0.30609024,-5.258606,-1.8835677,-0.87990576,-2.0860136,-3.6984134,1.8795731,1.445292,3.476157,1.7320533,0.13401653,6.142852,-0.23368336,2.4379654,1.8508165,1.3542385,3.3258533,2.8038387,-1.2004435,2.8680131,-1.3682666,13.557081,-32.232643,-19.34437,-15.287375,20.870049,9.445943,1.9730929,-13.461513,-3.3214138,20.285809,6.332509,-28.358303,-10.071955,-6.353765,11.376715,7.224702,21.696465
TCGA-VD-AA8O-01,7.08445,6.5071855,-6.9805613,2.9778533,-7.4995303,-7.6158543,-7.175157,6.3066516,5.8459554,-7.769873,-3.9571517,-1.7518743,6.700431,5.932301,-7.1231437,0.16375194,0.7635514,-5.285283,-0.7860202,-1.3889744,-1.8050815,-2.245541,2.5809274,1.67471,3.7689006,2.6699462,0.09714272,5.783425,-0.918917,2.270903,1.6392778,0.21261911,3.768173,2.6085422,-1.5002931,3.2410777,-0.28323776,25.387905,-24.662476,-10.314011,-18.582493,8.32863,9.0828705,9.820056,-11.712247,13.701168,21.006227,8.307343,-20.039825,-7.2736545,-16.337898,6.035549,5.95688,20.395424
TCGA-WC-A880-01,6.956295,6.4615326,-7.0666337,4.1132183,-7.49612,-7.6985064,-7.16979,6.1996493,5.8484983,-7.5767345,-4.585661,-3.473821,6.5425267,6.0437603,-7.1923103,-1.8515459,-2.2057235,-2.9744303,2.1616833,-0.27729928,2.740308,-2.903408,0.10358235,-1.0782541,5.407988,5.133496,4.653808,2.556287,4.1396523,3.7061057,-1.5199063,-3.446126,-1.7154084,6.173703,-2.8501475,5.279011,-3.6071737,6.422373,-20.641169,-12.331715,10.760293,6.223102,13.946743,11.185152,-26.02687,7.8820095,3.9942975,29.095852,-7.7344975,-41.86459,-26.826582,26.926203,22.771902,-6.612887
