,6,13,25,27,28,10,23,24
TCGA-90-7769-01,-13.805518,-22.28335,-7.1432776,-2.8130448,-10.375689,1.9005991,-17.336624,0.5739433
TCGA-77-A5G1-01,-12.782231,17.559574,-13.97221,-2.9941754,-10.08048,1.237761,-8.118806,8.062257
TCGA-77-A5G3-01,-17.460972,-22.400991,-3.1213727,-2.4572682,-13.726172,2.4402153,-16.404707,-1.373044
TCGA-56-8201-01,-11.495733,14.620852,-0.6434293,-2.371968,-9.113786,1.1899344,-15.295933,-4.016219
TCGA-43-7656-01,-14.946828,10.579236,3.1290827,-6.8162227,-12.565149,0.41237715,-0.44778013,2.2304683
TCGA-85-8481-01,-13.443501,8.336345,-2.7978878,-5.7353897,-11.408277,0.9728896,-7.6312647,8.375843
TCGA-56-A4ZK-01,-17.24192,-12.008073,-3.1450515,-5.583251,-10.17021,2.1697567,-17.224688,-3.2823336
TCGA-77-8156-01,-15.159808,-4.861729,-3.6307049,-5.1703696,-11.066397,0.9146548,-11.057303,10.218092
TCGA-43-A475-01,-15.358895,-1.6536114,5.963689,-3.9223008,-10.427456,2.44264,-14.72831,11.462782
TCGA-58-A46N-01,-15.136945,-25.402548,-0.43419874,-6.0701466,-11.678786,2.837065,-24.407349,-5.559883
TCGA-63-A5MW-01,-15.556785,-6.7724957,10.87812,-3.1912205,-16.298416,0.0038297102,-15.023061,-17.848234
TCGA-85-8479-01,-13.5152445,-4.3983054,-0.3976822,-7.6686826,-12.321262,1.8905411,-19.459532,-9.393143
TCGA-68-8251-01,-13.133,5.3992186,1.5922223,-3.3756814,-10.415124,1.5040519,-16.076712,-13.67893
TCGA-34-7107-01,-15.112451,-11.092408,-1.6678231,-7.0980678,-13.114387,2.8043044,-13.402155,4.809218
TCGA-39-5040-01,-10.331683,16.262691,-8.737313,0.5057631,-9.777324,2.8377333,-13.776353,10.485985
TCGA-63-A5M9-01,-14.396294,-6.887763,1.1028624,-1.4040166,-10.96942,1.5337831,-4.0014496,10.0373955
TCGA-92-8063-01,-13.547373,2.1965308,-6.664507,-5.4956403,-10.208299,0.66116965,-9.043936,11.145332
TCGA-NC-A5HR-01,-14.562739,-6.514333,6.3339105,-2.0317345,-11.1116905,3.1818097,-15.407389,-2.091737
TCGA-96-7544-01,-15.992101,-1.7039673,4.4747458,-3.985575,-10.59922,2.6702487,-21.485228,-14.459131
TCGA-37-A5EM-01,-15.343243,-6.3109603,-1.775297,-0.7532689,-12.37772,0.41493785,-3.280954,8.051018
