,10,11,12,16,17,23,27,29,4,11,26,27,1,2,3,14,15,19,24,25,27
TCGA-EA-A3HT-01,9.57224,-0.49276763,-7.4939427,7.528977,0.69367254,-3.1344736,6.344056,23.764992,4.02994,-2.6062472,5.465317,0.117942765,-8.531949,5.6965575,3.7102675,5.880099,-14.472351,3.7460349,6.356217,6.9365745,1.7862219
TCGA-FU-A3HZ-01,-19.81081,21.844086,-19.782589,7.8599005,-24.016685,13.678991,-7.8520713,9.294801,2.6854267,0.4374037,3.8846533,3.0691226,-6.5060797,-1.9945407,1.8243252,-2.5332751,-24.25844,-0.20109768,3.3095918,16.686974,15.657021
TCGA-FU-A3TQ-01,12.661816,5.037061,-4.9102073,1.9080548,10.954279,-9.992546,9.870352,23.700434,4.1094923,-2.950191,6.8887577,-0.4681182,-11.279461,8.880001,3.0334122,7.169866,-16.67775,4.8209934,6.8128543,8.786537,3.2405941
TCGA-DS-A0VK-01,4.7552986,0.037567094,-2.5393374,-5.1258984,20.449398,0.8435771,16.351608,23.266682,3.821921,-3.7657816,4.568177,-0.8480865,-9.892931,8.0933485,4.018417,5.892268,-9.660666,7.387209,6.345153,3.0959108,-1.481886
TCGA-UC-A7PG-01,3.3507469,1.560586,-10.349567,11.980133,6.5874796,0.23842423,2.604069,23.51645,4.165775,-2.5168145,5.563381,0.31631058,-9.981394,7.60817,5.849175,7.731993,-12.238156,2.2092988,6.4854293,7.669722,4.489388
TCGA-C5-A7UE-01,20.526815,2.6647103,-6.401111,-3.5389543,6.435955,10.798175,10.720438,25.781637,4.2419043,-2.6921506,6.7310224,0.22260122,-11.252766,10.65839,6.074834,8.032596,-17.3115,3.8121357,6.235587,9.165748,7.7686424
TCGA-C5-A1MJ-01,-6.968711,7.432998,-19.32181,-4.941379,-8.838707,-6.607279,5.448778,16.7319,3.5172393,-1.6541651,3.457457,-0.22102696,-13.393978,14.0744295,-7.199405,4.7447844,1.6582808,5.364912,17.288826,-2.190943,-22.944805
TCGA-UC-A7PI-01,7.6134315,9.027008,-21.633396,-15.039177,17.34223,-15.571825,15.095973,23.411306,4.0232897,-2.1396341,5.127614,0.44052023,-16.364044,19.102411,-5.9848385,6.706998,2.9319687,9.374396,19.467403,-1.2233438,-23.321653
TCGA-C5-A1MF-01,2.204183,4.582214,-13.668693,-15.149955,-21.70961,28.548094,5.171626,20.24462,1.7967596,-2.1733131,4.415506,-0.028450273,-12.484149,14.084245,-2.836835,8.719506,-2.6119127,6.6096373,12.496481,-2.7076805,-15.964291
