,4,25,9,17,19,25,26,2,15,26
TCGA-FV-A495-01,-13.020099,-12.357159,3.1439836,0.051802818,1.3031845,5.0252013,1.4236249,6.4847126,3.6795857,-2.0546138
TCGA-CC-A3MB-01,-12.851627,0.015650665,3.7805698,-1.8764582,0.61174136,2.4857588,1.4865805,-9.708973,-2.0616772,5.4393063
TCGA-BC-A3KF-01,-12.282217,-6.8884354,2.5788584,-2.0049093,-0.74185383,1.9964836,1.0502186,-20.674301,5.7079005,-4.4850698
TCGA-DD-A4NV-01,-13.725184,-8.889733,2.649292,-1.0442411,-0.66606724,2.2879527,1.127393,1.9699733,2.323321,2.7868075
TCGA-CC-A1HT-01,-17.296984,19.313423,3.7685728,-1.8963971,2.2602232,4.8339844,-0.064606816,24.275352,2.559995,-8.110126
TCGA-BD-A3EP-01,-15.661336,3.1621592,2.734559,-0.12397201,0.37729722,4.4802246,0.70015997,4.9234734,7.637045,-1.3714112
TCGA-CC-A3MA-01,-11.965389,-3.0130992,3.5069976,-2.158026,1.7589805,3.8336782,1.3551425,-2.5809314,3.3209398,-3.0789285
TCGA-ZP-A9CV-01,-11.696364,-2.8136342,2.3595726,-0.9756208,-0.61328405,2.78266,1.5696954,0.7159012,-2.1153715,9.03761
TCGA-DD-AACY-01,-11.016137,-10.467965,2.391035,-1.1218252,-0.15369475,1.5312147,1.2062721,-7.9474387,-6.3562856,4.157969
TCGA-XR-A8TG-01,-15.944827,0.1336191,3.5629773,-1.552475,0.9969142,4.0395775,0.5039616,-2.5010657,0.9752996,2.354664
TCGA-CC-A9FW-01,-12.547994,7.5014815,3.3975172,-3.064842,1.243572,3.6150687,0.14369182,16.231863,-7.10241,-7.5306025
TCGA-BC-A10Y-01,-14.477772,-3.0757809,2.8927763,-0.8253217,-0.66583973,2.7526639,0.4355847,3.6422884,1.3238232,3.0174773
TCGA-KR-A7K7-01,-11.467609,3.0611885,5.109372,-3.6702693,2.504077,4.1844068,-2.0115125,11.300395,4.626051,-1.0191728
TCGA-ED-A459-01,-15.179831,1.9522367,3.9220898,-2.400428,0.8534504,2.6858783,0.9169197,-2.033855,1.3077279,-2.0326674
TCGA-PD-A5DF-01,-14.558662,-2.3467352,3.761179,-1.6843388,0.25474298,3.445344,0.85583013,0.959549,7.217337,-4.72505
TCGA-ED-A5KG-01,-13.715261,1.0463953,1.8540721,-0.5093101,-0.33579478,2.9098926,3.6730394,-13.547783,13.050916,-11.097779
TCGA-DD-AAVX-01,-9.843677,-2.030165,1.778002,-0.9203703,-0.33144185,1.095578,0.95857114,-10.7735,-9.873255,3.9271066
TCGA-ED-A7PY-01,-7.8072343,-21.125095,1.2617197,-0.55314875,-2.408168,1.2273965,3.0202594,-14.97471,10.365473,-7.813653
TCGA-RC-A7SF-01,-12.837394,-3.780146,3.7073128,-2.6385076,0.9212171,3.025315,0.5590545,6.0965524,-8.650545,4.788967
