,18,20,21,22,0,7,10,19,20,0,1,7,8,9,13,17,20
TCGA-D7-6526-01,15.3735485,-7.0001903,0.26931962,8.083875,-0.83465946,-0.37146613,2.2865136,-0.20391223,0.7651027,12.469437,7.4906845,2.665428,-26.716599,0.03282974,6.7541738,6.2227817,-2.1748028
TCGA-R5-A7ZI-01,16.830765,-11.2183075,-15.902214,4.342906,1.121036,0.14364429,0.18516071,-1.6590812,0.84709775,3.686314,9.678844,4.2391534,-14.719604,-1.0089092,-1.4096525,4.2968736,-5.344349
TCGA-HU-A4GN-01,10.294769,-9.544428,-8.9017105,16.419361,0.27482483,-0.6625042,0.061984453,-1.363536,0.41259298,-4.1562233,5.3355603,6.701288,3.7642803,-14.1847515,-5.97316,-16.486217,-5.898774
TCGA-MX-A666-01,14.876174,-1.3933009,-15.810459,-7.709364,-0.31193012,0.26238504,2.1153836,0.004111536,0.4926572,13.030259,6.5627465,1.125198,-23.183187,5.03545,14.111535,8.399334,-1.1382422
TCGA-CD-5803-01,21.309347,-7.114896,-5.315426,-28.1829,-1.0879976,-0.37408304,1.699089,-0.21217829,0.43232322,5.4159293,11.5408745,4.170749,-11.34982,1.2662984,-3.1058466,5.7301407,-5.328494
TCGA-BR-8059-01,17.087717,-1.5630322,-2.617475,-17.55439,-0.7298089,0.082331106,0.8224449,-0.37977305,0.026297279,7.284043,7.291359,2.9502478,-12.294195,-1.6583353,5.919507,3.6587985,-3.804204
TCGA-IN-7806-01,13.0532255,1.6606127,-6.635257,4.1132545,0.85051113,-0.18596348,0.54227775,-0.10754087,0.9460235,9.7796545,8.715548,1.906185,-13.705852,-2.1863532,7.21982,9.14733,-3.934501
TCGA-FP-8631-01,16.826761,0.55891323,-7.0180874,0.9809782,0.30829915,0.06173869,-0.29776654,-0.8208958,0.14935793,15.147778,6.5264053,0.119553275,-26.897932,4.519192,14.978852,9.5968275,-2.107099
TCGA-BR-8690-01,16.074705,3.3155644,-1.271046,-11.844776,0.23885047,0.5704114,1.2168354,0.06928107,0.2420106,6.1379294,11.357608,4.8649697,-13.233723,-4.3994975,-4.719338,6.334769,-5.861762
