,1,8,12,15,17,25,1,14,18,20,22,24,29,2,3,7,8,15,20,22,26
TCGA-DJ-A4V5-01,9.6583185,10.229901,11.178452,-13.354003,-13.368288,-14.913562,-1.51054,-0.11333074,0.42023864,0.19739178,0.4831151,-1.8748599,-1.5508009,-17.939823,-4.798746,21.519005,18.99584,10.821799,-5.6864505,-6.0719633,2.5455928
TCGA-L6-A4EQ-01,14.005637,3.7750874,13.652467,-14.52042,-12.459877,-6.405179,-0.76722836,-0.9703009,0.68751246,1.1514455,0.16248427,-0.49682313,-0.10680159,-13.618476,21.62452,10.093521,19.40346,3.8519106,4.300496,6.8841653,6.940094
TCGA-FE-A3PB-01,-1.0147475,15.41299,6.748507,-18.499851,-15.495643,-6.17554,-0.57706416,-1.5525484,0.16034186,-0.611067,-0.15849215,-1.7612646,-2.1121893,-3.1248376,2.6993876,3.4866772,1.5302721,-10.553169,-5.5891767,4.8126736,-12.738802
TCGA-E8-A2EA-01,12.794019,14.759959,9.590767,-14.872947,-13.748095,-12.579328,-1.0099185,-1.3803384,0.56054443,-0.6178999,-0.019859975,-2.0442755,-1.9981886,-5.3103952,-10.205203,10.450718,7.234219,-5.2436423,-8.928731,-0.37678376,-5.083489
TCGA-ET-A3DS-01,-1.2150064,-4.4326587,18.071173,-21.316954,-19.089287,1.5679377,-0.9457072,-2.4960313,0.42233148,0.48014948,-0.7050375,-2.145065,-0.9871237,-12.071706,1.7281643,1.3684094,3.5231018,-9.568696,9.965542,1.2310586,-10.887142
TCGA-EL-A3T8-11,0.45888653,2.8099189,26.740158,-20.131914,-22.218966,-1.7252153,-0.2522593,-3.3852398,1.3657601,-1.0559709,-1.2892345,-2.375842,-2.0034304,-18.343,12.889442,6.9976964,17.161697,1.498498,13.304291,-0.512322,2.3855133
TCGA-E8-A432-01,-7.5218444,6.1732593,8.49386,-18.26022,-12.8382635,-12.304975,-0.13656905,-1.330107,1.2942424,-0.99560314,-0.8383421,-3.4088953,-2.1292148,-4.3376584,0.35607624,14.450065,-0.7168118,-4.4224014,-13.865432,10.373027,-6.020571
TCGA-ET-A39M-01,7.979559,6.2475924,6.9111266,-10.972426,-10.686042,-14.1860285,-1.0403898,-0.44682813,-0.7298759,0.33616197,-0.07390245,-1.1081723,-0.92306334,-12.020335,3.94145,19.036543,18.274837,2.9980211,0.6187274,-1.8268112,5.1120615
TCGA-EL-A3T8-01,12.95042,-1.8886983,10.135771,-11.753159,-8.258476,-14.100557,-1.6580412,0.5708026,-0.58432096,1.4626784,0.14212433,-1.1091919,-0.08316846,-11.56535,16.50054,8.334932,8.907949,-1.4154701,-10.815395,-1.3876208,5.2625713
TCGA-ET-A25K-01,13.342479,-0.21405452,2.2959905,-13.408597,-6.508438,-16.855389,-0.90597457,-0.4569959,-0.5503417,0.84979904,-0.2786349,-0.24939132,-0.98848504,-9.711852,3.795172,-6.8466883,0.44189596,-12.728027,-12.620764,11.951635,-13.793458
TCGA-DJ-A13O-01,12.82525,16.418173,19.904581,-12.194118,-16.909407,-7.4549055,-1.2373796,-1.9867451,0.119431965,-0.5307093,-0.5173855,-1.5794802,-2.355735,-11.155163,7.158387,15.282302,18.866962,7.2931075,2.1836903,-2.0010889,4.4170423
TCGA-DJ-A2PO-01,10.9190235,5.157623,8.30474,-12.542012,-11.635845,-10.257561,-1.3890206,0.6141771,-0.72782713,1.2038411,0.466883,-1.1783527,-0.32935604,-13.539307,22.404562,15.191945,21.240526,4.49105,2.4227705,6.843491,-0.1623984
TCGA-EM-A2CT-01,-8.8709755,1.5414433,17.47801,-11.343807,-10.854616,-10.942859,-1.2251928,-0.7188354,0.27313733,0.48795635,0.1981945,-2.3810766,-1.5502871,-7.083806,0.6861218,-1.0368838,14.117398,0.86462426,4.369678,9.949932,-5.3921084
TCGA-DJ-A3VJ-01,12.490345,7.187349,8.29926,-11.537744,-9.655547,-17.148178,-1.0576088,-0.93834496,0.55736846,0.14757663,-0.16719984,-1.7510089,-1.777463,-11.669479,6.7111115,12.674764,16.649036,7.116378,-6.334372,2.892402,5.5326276
TCGA-EL-A3TB-11,-1.2949153,5.24958,21.16444,-21.685654,-20.82124,-5.501772,-0.3952535,-3.0807188,1.0891447,-0.7690608,-0.98727727,-2.7106419,-2.170854,-5.8875356,-4.216152,2.163749,3.542195,-14.281393,2.8906431,1.7724231,-10.65767
TCGA-EL-A4K4-01,13.312844,13.153905,8.487038,-14.657234,-10.790927,-10.093716,-0.35568905,-1.9397056,1.8789372,-1.3965567,0.217119,-2.5053911,-2.9434266,-7.443461,-4.2337356,4.696095,5.9454093,-6.1022186,-10.136967,8.852258,-9.537207
